model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
ridge,trusted_recommended_features,log_ridge_alpha_0_3,log,67,124.02952532131803,380.2930849945346,0.6399355613941561,16.87086630651101
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_0_3,log,66,124.0377736364912,380.61961293863243,0.6393169775698448,16.826732114201434
ridge,trusted_extended_traficom_stack,log_ridge_alpha_0_3,log,62,124.1090937262909,381.67787910735717,0.637308519464094,15.826187440664306
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_3,log,61,124.22358675131699,380.871424735857,0.638839575560362,15.780906274324451
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_3,log,62,124.30506487759143,380.9913774549211,0.6386120499749819,15.934653986768097
ridge,trusted_manual_all_features_set,log_ridge_alpha_0_3,log,63,124.38599519169324,382.73347770329093,0.635299568629365,15.875036555972123
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_1_0,log,66,135.69523199883403,461.04066006545565,0.47079756913145543,17.62134233283524
ridge,trusted_extended_traficom_stack,log_ridge_alpha_1_0,log,62,135.75624521354464,461.4450892692673,0.46986871921146567,17.424290440748166
ridge,trusted_recommended_features,log_ridge_alpha_1_0,log,67,135.7737638302165,461.16561477507605,0.47051067340690556,17.74769412210284
ridge,trusted_manual_all_features_set,log_ridge_alpha_1_0,log,63,136.01271648858733,462.76554785826954,0.4668303599649566,18.041184337306618
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_1_0,log,66,137.04024341717036,464.8737340426599,0.4619614530944307,16.64502595894065
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_1_0,log,61,137.0936029012382,465.2482949462219,0.4610940803960658,16.22074340971946
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_1_0,log,65,137.10149364811326,465.4397114313732,0.4606505464868018,16.65293486226153
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_1_0,log,62,137.17862304885602,465.9364823797631,0.459498620179151,16.314653223403283
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_3_0,log,66,139.6178687230769,496.00917565332145,0.38747644440902385,17.41941638901909
ridge,trusted_recommended_features,log_ridge_alpha_3_0,log,67,139.65822851351828,496.1246629524765,0.3871911798222898,17.619577646255408
ridge,trusted_extended_traficom_stack,log_ridge_alpha_3_0,log,62,139.71423553791027,496.4730719355012,0.3863301741800518,17.449264945913058
ridge,trusted_manual_all_features_set,log_ridge_alpha_3_0,log,63,139.74779061044526,496.3994070740894,0.3865122688453355,17.43181072748888
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_3_0,log,66,141.72298645576436,501.3861657458505,0.3741243330617555,17.58954344377348
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_3_0,log,65,141.7387496206705,501.33010316181486,0.37426429003653294,17.752693087244978
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_3_0,log,62,141.77158999953997,501.30902364118924,0.37431690978314536,18.096606427213025
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_3_0,log,61,141.78664657051158,501.2669472281137,0.3744219363998017,18.273936212219837
