brand,total_registered_vehicles,median_vehicle_age,median_engine_cc,median_power_kw,median_mileage,brand_share_of_market
ford-hymer,51,17.0,2198.0,96.0,155175.0,1.9882560343570643e-05
busconcept,51,5.0,2987.0,140.0,307565.0,1.9882560343570643e-05
infiniti,51,14.0,3498.0,206.0,154462.0,1.9882560343570643e-05
imperial,50,25.5,6780.0,257.0,34084.0,1.9492706219186906e-05
ci,49,2.0,1995.0,125.0,349.0,1.9102852094803168e-05
fiat-pössl,42,14.0,2287.0,96.0,173669.0,1.6373873224117e-05
neckar,42,61.0,770.0,35.0,67480.5,1.6373873224117e-05
ford-dethleffs,41,18.0,2200.0,96.0,160456.0,1.598401909973326e-05
fiat-hobby,40,20.0,2490.0,95.5,156254.0,1.5594164975349523e-05
fiat-adria mobil,40,16.0,2287.0,91.5,179529.5,1.5594164975349523e-05
binz,40,12.0,2143.0,150.0,205729.0,1.5594164975349523e-05
de soto,40,19.0,5905.0,205.0,49583.0,1.5594164975349523e-05
scania,38,25.0,8970.0,265.5,349459.0,1.4814456726582048e-05
hillman,37,60.0,1490.0,39.0,56232.0,1.4424602602198309e-05
fiat-weinsberg,37,10.0,2287.0,96.0,108902.0,1.4424602602198309e-05
willys,37,21.0,2200.0,44.5,30015.0,1.4424602602198309e-05
auto-union,37,54.0,1490.0,39.0,36746.0,1.4424602602198309e-05
fiat-granduca,36,27.0,2468.0,79.0,206746.5,1.4034748477814571e-05
fiat-carthago,35,14.0,2999.0,116.0,96388.0,1.3644894353430834e-05
fiat-eura-mobil,34,21.0,2800.0,90.0,173509.0,1.3255040229047094e-05
adria mobil,34,15.0,2287.0,95.75,140688.0,1.3255040229047094e-05
borgward,32,50.0,1493.0,45.0,32884.0,1.247533198027962e-05
daimlerchrysler,32,22.0,2397.0,110.0,295212.0,1.247533198027962e-05
ifa,32,31.0,900.0,22.0,55883.0,1.247533198027962e-05
renault-adria,31,18.0,2490.0,100.0,170089.0,1.208547785589588e-05
ford-rimor,31,18.0,2198.0,92.0,146031.0,1.208547785589588e-05
awe,31,32.0,990.0,33.0,49974.0,1.208547785589588e-05
aston martin,30,18.5,5340.0,328.5,49888.0,1.1695623731512142e-05
laika,29,1.0,2184.0,103.0,217.0,1.1305769607128405e-05
lotus,29,30.0,1998.0,124.5,50439.0,1.1305769607128405e-05
mb-lmc,28,22.0,2170.0,95.0,200918.0,1.0915915482744667e-05
nsu,27,39.0,995.0,41.0,47497.0,1.0526061358360928e-05
ford-elnagh,27,29.0,2490.0,74.0,216413.0,1.0526061358360928e-05
fiat-ci,27,23.0,2280.0,81.0,176622.0,1.0526061358360928e-05
mercedes-benz-hymer,26,18.0,2814.0,117.5,172864.5,1.013620723397719e-05
mb-hymer,26,23.0,2700.0,115.0,192514.0,1.013620723397719e-05
volga,26,31.0,2440.0,68.0,33277.0,1.013620723397719e-05
daf,26,50.0,1100.0,88.55,59177.5,1.013620723397719e-05
hudson,25,13.5,3810.0,75.0,47346.0,9.746353109593453e-06
fiat-capron,25,13.0,2287.0,96.0,92479.0,9.746353109593453e-06
citroen-pössl,25,17.0,2198.0,88.0,185018.0,9.746353109593453e-06
fiat-elnagh,24,24.5,2287.0,72.0,162438.5,9.356498985209714e-06
fiat-mobilvetta,24,27.0,2490.0,85.0,187594.0,9.356498985209714e-06
fiat-matkaaja,24,36.0,2440.0,68.0,207009.0,9.356498985209714e-06
voyah,23,1.0,,,28.0,8.966644860825976e-06
renault-knaus,23,18.0,2460.0,84.0,134865.0,8.966644860825976e-06
morgan,23,37.0,1994.0,89.0,46775.0,8.966644860825976e-06
niesmann-bischoff,23,5.0,2287.0,130.0,54428.0,8.966644860825976e-06
fiat-challenger,22,0.0,2184.0,103.0,800.5,8.576790736442238e-06
nash,21,21.5,3100.0,60.0,37375.0,8.1869366120585e-06
dreamer,21,4.0,2287.0,110.0,36987.0,8.1869366120585e-06
etrusco,20,3.0,2184.0,103.0,269.5,7.797082487674762e-06
ford-capron,20,16.0,2198.0,103.0,142091.0,7.797082487674762e-06
vaz,19,43.0,1300.0,53.0,50830.0,7.407228363291024e-06
volkswagen-westfalia,19,29.0,2370.0,57.0,288382.0,7.407228363291024e-06
aion,18,0.0,,,,7.017374238907286e-06
elnagh,18,17.0,2287.0,95.5,138697.5,7.017374238907286e-06
morris-cooper,18,30.0,1270.0,57.0,8395.0,7.017374238907286e-06
alpina,18,13.0,2979.0,257.0,186936.5,7.017374238907286e-06
fiat-rapido,17,13.0,2287.0,109.0,102797.0,6.627520114523547e-06
dkw,17,60.0,890.0,29.0,52032.0,6.627520114523547e-06
zastava,16,45.0,767.0,23.75,43774.0,6.23766599013981e-06
lloyd,16,63.5,600.0,21.6,67094.5,6.23766599013981e-06
edsel,16,13.0,5900.0,221.5,57457.0,6.23766599013981e-06
ford-challenger,16,17.0,2198.0,99.5,160566.5,6.23766599013981e-06
lamborghini,16,23.5,5060.5,382.0,63736.0,6.23766599013981e-06
seres,16,0.0,,430.0,20.5,6.23766599013981e-06
mb-adria,16,21.0,2680.0,115.0,209127.5,6.23766599013981e-06
fiat-bürstner,16,15.0,2287.0,96.0,145759.0,6.23766599013981e-06
faw,15,1.0,,,2312.0,5.847811865756071e-06
ford-carado,15,17.0,2198.0,103.0,218780.0,5.847811865756071e-06
concorde,15,9.0,2998.5,155.0,113280.0,5.847811865756071e-06
emw,14,12.5,1971.0,42.0,5670.0,5.457957741372334e-06
fiat-sharky,14,19.0,2239.0,77.5,131588.5,5.457957741372334e-06
ford-tcmobile,14,17.5,2190.0,96.0,169292.5,5.457957741372334e-06
vw-matkaaja,13,36.0,2100.0,75.0,144468.0,5.068103616988595e-06
pilote,13,5.0,2287.0,110.0,22217.5,5.068103616988595e-06
ford-burstner,13,17.0,2198.0,103.0,144195.0,5.068103616988595e-06
steyr-puch,12,25.0,640.0,,34750.0,4.678249492604857e-06
goggomobil,12,62.0,690.0,22.0,64751.0,4.678249492604857e-06
fiat-tec,11,15.0,2287.0,95.5,145641.0,4.288395368221119e-06
dfsk,11,0.0,1498.0,75.0,24.5,4.288395368221119e-06
peugeot-hymer,11,36.0,2500.0,70.0,223965.0,4.288395368221119e-06
sunlight,11,6.0,2287.0,103.0,52426.0,4.288395368221119e-06
fiat-chausson,11,20.0,2286.0,94.0,142273.0,4.288395368221119e-06
volkswagen-karmann,11,19.0,1584.0,57.0,97022.0,4.288395368221119e-06
fiat-carado,11,13.0,2287.0,95.5,118814.0,4.288395368221119e-06
fiat-pilote,10,31.5,2440.0,70.0,183718.0,3.898541243837381e-06
karmann,10,2.5,1995.0,125.0,79.0,3.898541243837381e-06
jac,10,0.0,,,,3.898541243837381e-06
bravia,10,6.0,1997.0,108.0,73664.0,3.898541243837381e-06
renault-dethlef,10,19.0,2705.0,94.0,169737.0,3.898541243837381e-06
peugeot-eura-mobil,10,35.0,2500.0,70.0,193876.0,3.898541243837381e-06
kaiser,10,34.0,3707.5,87.0,34015.0,3.898541243837381e-06
standard,10,46.5,2089.0,50.0,54843.0,3.898541243837381e-06
american,10,52.0,5175.0,94.0,63971.5,3.898541243837381e-06
fiat-frankia,10,27.0,2495.0,85.0,234612.5,3.898541243837381e-06
ford-lmc,10,18.0,2401.0,103.0,174490.0,3.898541243837381e-06
vw-swift,9,30.0,2370.0,57.0,235291.0,3.508687119453643e-06
ldv,9,4.0,,,67856.0,3.508687119453643e-06
panhard,9,63.0,850.0,31.0,69066.0,3.508687119453643e-06
renault-dethleffs,9,17.0,2464.0,107.0,135092.0,3.508687119453643e-06
ford-ci,9,8.0,1995.0,125.0,126458.0,3.508687119453643e-06
fiat-adriamobil,9,21.0,2800.0,94.0,198958.0,3.508687119453643e-06
amc,9,12.0,5354.0,170.0,51773.0,3.508687119453643e-06
ford-tec,9,16.0,2198.0,103.0,178031.0,3.508687119453643e-06
mb-eura mobil,9,24.0,2690.0,115.0,207383.0,3.508687119453643e-06
austin cooper,9,58.0,1070.0,54.0,29034.0,3.508687119453643e-06
knaus tabbert ag,9,0.0,2184.0,103.0,620.0,3.508687119453643e-06
skywell,9,1.0,,,35.0,3.508687119453643e-06
fiat-euramobil,8,19.0,2288.5,89.0,177932.0,3.118832995069905e-06
hundai,8,5.0,1580.0,77.2,40734.0,3.118832995069905e-06
chrysler-sunbeam,8,47.0,1590.0,50.0,39189.5,3.118832995069905e-06
mercedes benz-dethleffs,8,16.0,2148.0,120.0,173617.5,3.118832995069905e-06
jensen,8,38.5,6283.0,219.0,51301.5,3.118832995069905e-06
gac,8,0.0,,,11.0,3.118832995069905e-06
mclaren,8,1.5,2993.0,430.0,3169.0,3.118832995069905e-06
de tomaso,8,43.0,5763.0,246.0,70454.5,3.118832995069905e-06
de lorean,7,12.0,2849.0,105.0,24759.0,2.728978870686167e-06
cuby,7,6.0,2987.0,140.0,328147.0,2.728978870686167e-06
citroen-hymer,7,35.0,2500.0,70.0,242510.0,2.728978870686167e-06
mercedes-benz-automet,7,6.0,2143.0,105.0,340621.0,2.728978870686167e-06
commer,7,45.0,1390.0,37.0,84776.5,2.728978870686167e-06
donau,7,43.5,900.0,33.0,67163.5,2.728978870686167e-06
iveco-carthago,7,14.0,2998.0,125.0,140371.5,2.728978870686167e-06
chausson,7,6.0,2287.0,96.0,70778.0,2.728978870686167e-06
essex,7,20.0,2600.0,40.0,61458.5,2.728978870686167e-06
acura,7,15.0,2300.0,176.0,158449.0,2.728978870686167e-06
adler,7,17.0,998.0,24.0,19554.0,2.728978870686167e-06
leyland,7,47.0,1790.0,60.0,37799.0,2.728978870686167e-06
auburn,7,16.0,4402.0,84.5,11033.5,2.728978870686167e-06
westfalia,7,10.0,2198.0,110.0,84010.0,2.728978870686167e-06
autocaravans rimor s.p.a,7,16.0,2287.0,103.0,208304.0,2.728978870686167e-06
desoto,7,13.0,4770.0,113.5,59247.0,2.728978870686167e-06
fiat-sea,7,18.0,2287.0,94.0,167568.0,2.728978870686167e-06
puch,6,34.0,2290.0,85.0,30922.5,2.3391247463024284e-06
sea,6,16.0,2287.0,94.75,108081.0,2.3391247463024284e-06
pla,6,11.5,2188.5,103.0,73478.5,2.3391247463024284e-06
morelo,6,7.5,4934.5,162.5,74043.5,2.3391247463024284e-06
volvo-nilsson,6,23.0,2430.0,125.0,231922.5,2.3391247463024284e-06
mclouis,6,14.0,2287.0,95.5,121216.0,2.3391247463024284e-06
seat-fiat,6,51.0,770.0,25.0,20883.0,2.3391247463024284e-06
fiat-flair,6,25.0,2800.0,90.0,220122.0,2.3391247463024284e-06
reo,6,17.0,3515.0,38.5,51802.0,2.3391247463024284e-06
ford dethleffs,6,18.0,2400.0,102.0,168895.0,2.3391247463024284e-06
caterham,6,35.5,1700.0,99.5,36731.5,2.3391247463024284e-06
fiat-karmann,6,16.0,2287.0,92.0,132195.0,2.3391247463024284e-06
peugeot-bravia,6,7.0,1997.0,108.0,92242.5,2.3391247463024284e-06
bmw alpina,6,23.5,2984.5,224.5,187660.5,2.3391247463024284e-06
ford-eura-mobil,5,17.0,2198.0,96.0,130002.0,1.9492706219186904e-06
peugeot-pilote,5,35.0,1970.0,63.5,172354.0,1.9492706219186904e-06
mobilvetta,5,5.0,2287.0,110.0,33722.0,1.9492706219186904e-06
vedette,5,43.5,2350.0,61.5,18636.0,1.9492706219186904e-06
alpine,5,1.0,1798.0,185.0,6094.0,1.9492706219186904e-06
austin-cooper,5,20.0,997.0,40.0,25059.0,1.9492706219186904e-06
iveco-concorde,5,9.0,2998.0,150.0,117443.0,1.9492706219186904e-06
autobianchi,5,25.0,900.0,34.0,36518.0,1.9492706219186904e-06
valiant,5,,3245.0,82.0,68929.0,1.9492706219186904e-06
ford-karmann,5,33.0,2490.0,72.0,57907.0,1.9492706219186904e-06
renault-adria mobil,5,16.0,2460.0,107.0,86506.0,1.9492706219186904e-06
bertone,5,36.0,1490.0,62.5,51224.0,1.9492706219186904e-06
iveco-dethleffs,5,16.0,2998.0,125.0,121761.0,1.9492706219186904e-06
roller team,5,4.0,1995.0,121.3,104800.0,1.9492706219186904e-06
ford-chausson,5,21.0,2400.0,92.0,141012.0,1.9492706219186904e-06
fiat-miller,5,19.0,2287.0,94.0,163423.0,1.9492706219186904e-06
fiat-fendt,5,32.0,2490.0,69.5,196620.0,1.9492706219186904e-06
fisker,5,13.0,1998.0,156.0,54048.0,1.9492706219186904e-06
fiat-rimor,5,14.0,2287.0,95.0,154477.0,1.9492706219186904e-06
citroen-dethleffs/globecar,4,16.5,2598.5,109.25,186697.5,1.5594164975349524e-06
mercedes-benz-james cook,4,17.0,2932.0,135.0,228427.0,1.5594164975349524e-06
hupmobile,4,15.0,3748.0,43.35,54999.5,1.5594164975349524e-06
humber,4,64.0,1929.5,42.0,48241.0,1.5594164975349524e-06
wolseley,4,26.0,2200.0,46.0,41124.5,1.5594164975349524e-06
goliath,4,37.0,1091.5,34.0,22710.0,1.5594164975349524e-06
riley,4,24.5,1493.0,43.5,42964.5,1.5594164975349524e-06
fiat-swift,4,25.0,2800.0,64.0,234263.0,1.5594164975349524e-06
fiat-arto,4,17.0,2899.5,104.75,129953.5,1.5594164975349524e-06
dodge-eura-mobil,4,33.0,5880.0,118.0,146537.0,1.5594164975349524e-06
paragan,4,12.0,2299.0,108.5,133669.5,1.5594164975349524e-06
checker,4,22.0,4561.0,59.0,37417.5,1.5594164975349524e-06
mb-karmann,4,35.0,2390.0,53.0,240198.5,1.5594164975349524e-06
fiat-eura mobil,4,19.5,2550.0,92.0,178860.5,1.5594164975349524e-06
fiat-clou,4,34.0,2440.0,68.0,176197.5,1.5594164975349524e-06
fiat ducato,4,22.5,2800.0,94.0,251319.0,1.5594164975349524e-06
laika caravans s.p.a.,4,3.0,2287.0,109.25,19760.0,1.5594164975349524e-06
mercedes-benz-carthago,4,17.0,2987.0,135.0,133010.0,1.5594164975349524e-06
fendt,4,16.0,2198.0,99.5,116469.0,1.5594164975349524e-06
krismar,4,3.5,7698.0,320.0,18870.5,1.5594164975349524e-06
renault theault,4,17.5,2500.0,107.0,233552.5,1.5594164975349524e-06
fiat-itineo,4,16.0,2287.0,96.0,113997.0,1.5594164975349524e-06
vw-karmann,4,33.0,2375.0,75.0,171269.5,1.5594164975349524e-06
benimar,4,4.5,2096.5,110.5,27799.0,1.5594164975349524e-06
polski-fiat,4,42.5,971.0,51.5,54129.5,1.5594164975349524e-06
karmann-mobil,4,16.0,2287.0,88.0,232048.0,1.5594164975349524e-06
pierce-arrow,4,27.0,5928.0,71.5,66016.5,1.5594164975349524e-06
ford-matkaaja,4,35.0,2490.0,51.0,60952.5,1.5594164975349524e-06
dodge brothers,4,31.0,3500.0,30.0,40805.5,1.5594164975349524e-06
singer,4,34.5,1186.0,31.0,33700.0,1.5594164975349524e-06
daimler-benz,4,40.0,2235.0,100.0,177793.5,1.5594164975349524e-06
ford-bürstner,4,17.0,2198.0,96.0,139216.5,1.5594164975349524e-06
uaz,4,26.0,2442.5,61.0,25188.5,1.5594164975349524e-06
pmc,4,47.0,1980.0,78.0,65648.5,1.5594164975349524e-06
dangel,4,3.5,1997.0,106.0,87680.0,1.5594164975349524e-06
international,3,58.5,3600.0,,29691.0,1.1695623731512142e-06
mercedes-benz-la strada,3,21.0,2685.0,115.0,300121.0,1.1695623731512142e-06
mb-adriamobil,3,22.0,2680.0,115.0,183408.0,1.1695623731512142e-06
panther,3,41.0,1596.0,71.0,67004.0,1.1695623731512142e-06
man-carthago,3,18.0,6870.0,176.0,114212.0,1.1695623731512142e-06
westfield,3,36.0,1700.0,73.0,12925.0,1.1695623731512142e-06
durant,3,42.0,3260.0,43.65,66646.0,1.1695623731512142e-06
mercus,3,7.0,2143.0,120.0,325115.0,1.1695623731512142e-06
fiat-rotec,3,25.0,2800.0,90.0,199805.0,1.1695623731512142e-06
fiat-heku,3,33.0,2480.0,55.0,227643.0,1.1695623731512142e-06
peugeot-hobby,3,33.0,2440.0,70.0,134877.0,1.1695623731512142e-06
man tge affinity,3,0.0,1968.0,130.0,350.0,1.1695623731512142e-06
mustang,3,10.0,4727.0,257.5,45760.0,1.1695623731512142e-06
stutz,3,7.0,5657.0,164.0,70547.0,1.1695623731512142e-06
mercedes-benz-cento bus,3,6.0,2143.0,120.0,223216.0,1.1695623731512142e-06
renault dethlef,3,19.0,2950.0,100.0,116906.0,1.1695623731512142e-06
setra,3,29.5,,306.0,493371.0,1.1695623731512142e-06
fiat-mooveo,3,18.0,2200.0,74.0,162000.0,1.1695623731512142e-06
vw-westfalia,3,30.0,2370.0,57.0,412811.0,1.1695623731512142e-06
zaz,3,17.0,880.0,29.0,43304.0,1.1695623731512142e-06
stx,3,7.0,7698.0,290.0,66100.0,1.1695623731512142e-06
fargo,3,57.0,1720.0,42.0,26109.0,1.1695623731512142e-06
joint,3,15.0,2198.0,74.0,99684.0,1.1695623731512142e-06
think,3,15.0,,25.0,23366.0,1.1695623731512142e-06
erskine,3,0.0,2390.0,30.0,73887.0,1.1695623731512142e-06
mb-rapido,3,18.0,2680.0,115.0,137243.0,1.1695623731512142e-06
talbot-matra,3,43.0,1592.0,67.5,193462.0,1.1695623731512142e-06
carbodies,3,35.0,2664.0,61.75,69259.0,1.1695623731512142e-06
fiat-tabbert,3,32.0,2490.0,70.0,290173.0,1.1695623731512142e-06
fiat rapido,3,18.0,2800.0,107.0,205048.0,1.1695623731512142e-06
fso,3,35.0,1480.0,48.0,39532.0,1.1695623731512142e-06
tvr,3,27.0,3940.0,268.0,61738.0,1.1695623731512142e-06
polster,3,4.0,2143.0,120.0,280275.0,1.1695623731512142e-06
m-b la strada,3,21.0,2150.0,95.0,349471.0,1.1695623731512142e-06
fordson,3,73.0,1172.0,28.75,6604.0,1.1695623731512142e-06
alvis,3,11.0,2993.0,83.5,63312.0,1.1695623731512142e-06
glas,3,28.0,1485.0,57.5,8757.0,1.1695623731512142e-06
xgo,3,6.0,2287.0,96.0,123301.0,1.1695623731512142e-06
citroen/dethlef,3,21.0,2800.0,94.0,195663.0,1.1695623731512142e-06
lynk and co,3,4.0,1477.0,132.0,48109.0,1.1695623731512142e-06
lucid,3,0.0,,602.0,22.0,1.1695623731512142e-06
ford/dethleffs,3,18.0,2000.0,92.0,163994.0,1.1695623731512142e-06
goljat,3,26.0,1090.0,40.0,54147.0,1.1695623731512142e-06
rimor,3,13.0,2299.0,103.0,95054.0,1.1695623731512142e-06
matra,3,27.0,1699.0,61.0,50820.0,1.1695623731512142e-06
fiat-dethleffs/globecar,3,16.0,2287.0,88.0,177894.0,1.1695623731512142e-06
