brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
ford transit,custom,390,11.0,2014.0,69,0.2153846153846154,0.6410256410256411,2018.0410256410257
gac,aion v,26,0.0,2025.0,26,1.0,0.0,2025.0
honda,accord,166,1.0,2014.0,126,0.0,1.0,2014.2409638554218
honda,civic,6062,11.0,2016.0,1381,0.04041570438799076,0.8716595183107885,2016.2621247113163
honda,cr-v,5332,11.0,2014.0,1144,0.07033008252063015,0.8043885971492873,2016.5442610652663
honda,e,20,2.0,2020.0,17,0.15,0.0,2020.3
honda,e:ny1,5,2.0,2023.0,2,1.0,0.0,2023.8
honda,hr-v,2271,10.0,2016.0,905,0.08366358432408631,0.8207837956847204,2017.361514751211
honda,jazz,1581,11.0,2016.0,432,0.14168247944339027,0.7621758380771664,2017.1404174573056
honda,zr-v,53,2.0,2024.0,30,1.0,0.0,2024.2830188679245
hyundai,bayon,871,4.0,2024.0,242,1.0,0.0,2023.3157290470724
hyundai,grand santa fe,9,2.0,2014.0,4,0.0,1.0,2014.7777777777778
hyundai,i10,1361,11.0,2024.0,223,0.4371785451873622,0.3776634827332844,2020.0022042615724
hyundai,i20,10682,11.0,2016.0,1436,0.22879610559820257,0.5789178056543718,2018.2160644074143
hyundai,i30,7674,11.0,2018.0,1222,0.2234818868908001,0.5136825645035183,2018.599296325254
hyundai,i40,865,4.0,2015.0,301,0.0,1.0,2015.2312138728323
hyundai,inster,334,0.0,2025.0,334,1.0,0.0,2025.0
hyundai,ioniq,2475,9.0,2018.0,702,0.1402020202020202,0.4448484848484848,2018.911111111111
hyundai,ioniq5,2141,4.0,2023.0,611,1.0,0.0,2023.155067725362
hyundai,ioniq6,361,2.0,2024.0,139,1.0,0.0,2023.972299168975
hyundai,ix20,126,2.0,2015.0,62,0.0,1.0,2014.5396825396826
hyundai,ix35,337,2.0,2014.0,185,0.0,1.0,2014.4569732937684
hyundai,kona,4095,7.0,2021.0,779,0.6256410256410256,0.06471306471306472,2021.4405372405372
hyundai,nexo,1,0.0,2021.0,1,1.0,0.0,2021.0
hyundai,santa fe,399,11.0,2025.0,68,0.5964912280701754,0.3157894736842105,2020.3157894736842
hyundai,tucson,3194,10.0,2021.0,547,0.5419536631183469,0.2864746399499061,2020.2592360676267
isuzu,d-max,1,0.0,2024.0,1,1.0,0.0,2024.0
jaguar,e-pace,151,6.0,2018.0,75,0.12582781456953643,0.4966887417218543,2018.953642384106
jaguar,f-pace,274,9.0,2017.0,75,0.31386861313868614,0.5547445255474452,2018.8941605839416
jaguar,f-type,19,6.0,2015.0,4,0.0,0.8421052631578947,2016.7368421052631
jaguar,i-pace,212,7.0,2019.0,92,0.23113207547169812,0.05660377358490566,2020.0235849056603
jaguar,xe,452,7.0,2016.0,178,0.01327433628318584,0.8915929203539823,2016.6969026548672
jaguar,xf,293,5.0,2016.0,62,0.0,0.863481228668942,2016.5187713310581
jaguar,xj,15,3.0,2014.0,7,0.0,1.0,2015.1333333333334
jeep,avenger,84,2.0,2025.0,37,1.0,0.0,2024.2619047619048
jeep,cherokee,47,5.0,2016.0,16,0.0,0.9787234042553191,2016.1914893617022
jeep,compass,299,11.0,2021.0,69,0.5752508361204013,0.35785953177257523,2019.4581939799332
jeep,grand cherokee,144,11.0,2025.0,35,0.3402777777777778,0.6041666666666666,2018.986111111111
jeep,renegade,242,8.0,2015.0,61,0.2190082644628099,0.6363636363636364,2017.6157024793388
jeep,wrangler,75,6.0,2022.0,37,0.9733333333333334,0.0,2022.4533333333334
