brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
peugeot-bravia,6,7.0,7.166666666666667,92242.5,90378.83333333331,1997.0,108.0,2940.0,2.3391247463024284e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
seat-fiat,6,51.0,51.0,20883.0,30895.666666666668,770.0,25.0,620.0,2.3391247463024284e-06,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
morelo,6,7.5,7.666666666666667,74043.5,76970.66666666667,4934.5,162.5,4860.0,2.3391247463024284e-06,0.3333333333333333,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0
pla,6,11.5,9.5,73478.5,128577.83333333331,2188.5,103.0,2910.5,2.3391247463024284e-06,0.5,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
fiat-flair,6,25.0,25.0,220122.0,227959.8333333333,2800.0,90.0,3940.0,2.3391247463024284e-06,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.8333333333333334
fiat-karmann,6,16.0,15.666666666666666,132195.0,130413.16666666669,2287.0,92.0,2913.5,2.3391247463024284e-06,1.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,1.0
fiat-fendt,5,32.0,31.6,196620.0,182776.6,2490.0,69.5,2805.0,1.9492706219186904e-06,1.0,0.4,0.0,0.0,1.0,0.0,0.0,0.8
autobianchi,5,25.0,36.2,36518.0,34108.0,900.0,34.0,585.0,1.9492706219186904e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
iveco-dethleffs,5,16.0,17.0,121761.0,143583.2,2998.0,125.0,4915.0,1.9492706219186904e-06,1.0,0.2,0.4,0.0,1.0,0.0,0.0,1.0
iveco-concorde,5,9.0,10.0,117443.0,134460.2,2998.0,150.0,4408.0,1.9492706219186904e-06,0.4,0.2,0.8,0.0,1.0,0.0,0.0,1.0
