part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
"contact roll airbag - , e-",vw,golf,30,7,"58952159, 63136980, 63199756, 63225719, 63372058, 64336640, 64390201",177.5,176.9,178.5,4.29
engine diesel -,skoda,octavia,30,7,"56800137, 59673805, 60445612, 60973010, 62661162, 62744962, 66395040",3910.85,3529.3,4165.0,4.29
inter axle compl. -,skoda,octavia,30,7,"53369814, 53696921, 54501220, 54501287, 55842813, 61419210, 65598058",260.35,177.6,295.7,4.29
air purifier -,skoda,octavia,28,7,"54265057, 54291215, 55103367, 55500790, 65210861, 65455165, 65484076",88.85,82.6,95.2,4.0
rear gear / diff. -,skoda,octavia,28,7,"54083141, 55233937, 61412856, 65148479, 65580880, 66413259, 66730848",1179.8,947.2,1190.0,4.0
airbag front sensor -(right),toyota,corolla,27,7,"53921012, 54469880, 54547853, 54585113, 54586039, 54659450, 64412340",47.4,35.5,47.6,3.86
brake caliper -(right rear),skoda,octavia,36,6,"53380327, 53391210, 56294984, 62238837, 62501993, 64594083",177.3,153.3,184.4,6.0
curtain airbags -(left),skoda,octavia,36,6,"53485816, 53492208, 54689453, 60484632, 63439417, 65210848",142.3,141.5,158.3,6.0
"side airbags - , e-(right)",vw,golf,36,6,"54053381, 54075917, 54075961, 54223993, 54387551, 54387781",106.55000000000001,60.1,178.5,6.0
side airbags -(right),skoda,octavia,36,6,"54061739, 54061753, 54080780, 56982221, 62513344, 65114420",118.35,82.6,178.5,6.0
piston / rod -,toyota,corolla,31,6,"54475624, 54483536, 54484093, 54484658, 56109857, 56109858",47.4,47.2,47.6,5.17
abs hydraulic aggregate -,skoda,octavia,30,6,"54214832, 54222147, 54284957, 54672150, 64592399, 66910398",667.8,607.4,714.0,5.0
"abs hydraulic aggregate - , e-",vw,golf,30,6,"53938228, 54223147, 54270529, 54433079, 60055306, 64528096",601.2,589.7,612.9,5.0
"battery cable - , e-",vw,golf,30,6,"53984806, 54021478, 54038439, 54066811, 54166294, 61114227",41.5,41.3,47.6,5.0
"brake servo - , e-",vw,golf,30,6,"53389308, 53447977, 54390343, 56454556, 63356798, 65318665",188.8,176.9,595.0,5.0
"fuse box / electricity central - , e-",vw,golf,30,6,"54375921, 57524010, 59113738, 60125941, 64796630, 65059338",101.45,89.7,107.1,5.0
"rubber bellow / tube - , e-",vw,golf,30,6,"53382600, 54074047, 54399458, 54432860, 54433078, 58950659",35.55,35.4,41.6,5.0
"steering wheel airbag - , e-",vw,golf,30,6,"54243551, 62754570, 63199755, 63372062, 64675808, 65138597",532.2,485.4,535.5,5.0
"sump - , e-",vw,golf,30,6,"53368418, 53393260, 53467783, 53606468, 54224930, 60492911",106.2,94.4,113.0,5.0
throttle housing -,toyota,corolla,30,6,"53685062, 53707825, 54272034, 58399521, 64487421, 65066105",153.4,127.4,154.7,5.0
brake servo -,skoda,octavia,29,6,"53392094, 53402374, 53991650, 54224758, 61759379, 65718767",160.0,153.3,178.5,4.83
fuel pump electric -,skoda,octavia,29,6,"53581804, 58503314, 59655628, 61705839, 65487460, 66697123",130.9,129.7,142.8,4.83
gear distributor box -,skoda,octavia,29,6,"53407578, 57067071, 59077369, 59913951, 60522419, 66906976",952.0,943.5,1093.9,4.83
"engine diesel - , e-",vw,golf,28,6,"54025932, 54054788, 54228590, 58360841, 61922680, 63021622",3970.1000000000004,3488.7,4117.4,4.67
drive shaft-(right front),toyota,corolla,6,6,"54521427, 63710420, 64546406, 65865835, 66395002, 66434290",296.2,177.6,357.0,1.0
strut rear -(right rear),toyota,corolla,6,6,"54537330, 54599783, 54609541, 54611174, 54619116, 54646082",35.5,23.7,47.4,1.0
"abs hydraulic pump - , e-",vw,golf,30,5,"53985126, 54036564, 54044560, 54048685, 57338381",473.3,471.8,476.0,6.0
"adaptiv farthållare sensor - , e-",vw,golf,30,5,"58798477, 59757960, 60721444, 63197509, 65711229",424.7,401.0,439.1,6.0
"air purifier - , e-",vw,golf,30,5,"53985258, 54073986, 54074053, 54959086, 63238739",94.65,94.4,95.2,6.0
"airbag control unit - , e-",vw,golf,30,5,"53726544, 53997515, 54036211, 57339194, 61914680",236.65,235.9,238.0,6.0
alternator -,skoda,octavia,30,5,"54233068, 54280176, 54447421, 62238843, 62240132",235.95,218.2,238.0,6.0
"automatic gear - , e-",vw,golf,30,5,"54417788, 54417791, 57712714, 58738183, 64594102",3549.9,3305.2,3927.0,6.0
avgas temperaturgivare -,skoda,octavia,30,5,"53397093, 53490635, 53662597, 54468519, 64295799",59.150000000000006,53.1,61.9,6.0
baklucka styrenhet -,skoda,octavia,30,5,"53439276, 54666154, 56691920, 59583086, 63048923",95.05000000000001,94.4,119.0,6.0
battery cable -,skoda,octavia,30,5,"53520193, 53549530, 59572698, 64295796, 65876184",65.15,57.8,71.4,6.0
"belt tensioner for fan belt - , e-",vw,golf,30,5,"53700177, 53894965, 54654262, 54654297, 54664495",47.2,35.4,47.6,6.0
"brake caliper - , e-(left rear)",vw,golf,30,5,"54221225, 57338396, 63233983, 63445331, 65116750",212.35000000000002,182.8,214.2,6.0
bränslepump styrenhet -,skoda,octavia,30,5,"53610225, 54428103, 54688469, 65432379, 65558491",94.4,63.7,95.2,6.0
cam belt / transmission cap -,skoda,octavia,30,5,"54084846, 54217991, 54229476, 54229479, 54268855",17.8,17.7,23.8,6.0
carbon canister -,skoda,octavia,30,5,"53571584, 53835085, 54616959, 54659769, 60226199",47.2,35.4,47.6,6.0
carbon canister -,toyota,corolla,30,5,"53815841, 53832778, 54016548, 54523885, 54530861",29.5,23.6,29.8,6.0
"carbon canister - , e-",vw,golf,30,5,"53984272, 53985310, 54005766, 54027932, 54380653",41.4,35.4,41.6,6.0
central lock control unit -,skoda,octavia,30,5,"54410296, 54468823, 54660990, 55967124, 60199793",94.7,94.4,107.1,6.0
coil -,skoda,octavia,30,5,"53808277, 53809014, 53943649, 54352603, 54536085",47.5,47.2,59.5,6.0
"coil - , e-",vw,golf,30,5,"65403892, 65403904, 65403921, 65427076, 65427090",53.45,53.1,59.5,6.0
contact roll airbag -,skoda,octavia,30,5,"53484321, 53606519, 54668978, 57336303, 64799769",177.7,176.9,178.5,6.0
"control unit xenon - , e-",vw,golf,30,5,"59860320, 59860322, 63666797, 65421268, 65421272",176.95,165.1,178.5,6.0
"crankshaft - , e-",vw,golf,30,5,"54137828, 54142483, 54142603, 54635308, 61134774",112.4,70.8,154.7,6.0
"cylinder head diesel - , e-",vw,golf,30,5,"54017432, 54027520, 54137596, 54320426, 54622957",204.7,123.8,297.5,6.0
deliverer -,skoda,octavia,30,5,"54205411, 54205412, 61920905, 61920918, 61920928",237.6,235.9,258.9,6.0
"diesel tank - , e-",vw,golf,30,5,"53707675, 54020235, 54185803, 60058884, 64952167",176.95,153.3,178.5,6.0
"dipstick - , e-",vw,golf,30,5,"53694786, 54316903, 56877048, 60220863, 63741088",18.9,16.5,23.8,6.0
"engine block - , e-",vw,golf,30,5,"54100778, 54112903, 54118497, 54126464, 54162484",59.150000000000006,47.2,65.5,6.0
engine casing -,skoda,octavia,30,5,"54216988, 54281829, 54385393, 56101920, 65709762",59.4,59.0,71.4,6.0
"engine gasoline - , e-",vw,golf,30,5,"53368462, 53429849, 58737655, 63205720, 65116265",4100.450000000001,3753.4,4343.5,6.0
fly wheel manual -,skoda,octavia,30,5,"53555100, 53678716, 54139308, 54582424, 64858611",118.8,117.9,133.9,6.0
"fly wheel manual - , e-",vw,golf,30,5,"53426452, 53987010, 54109076, 54166562, 54577204",141.55,106.1,142.8,6.0
fuel distributor -,skoda,octavia,30,5,"54218705, 54222472, 54998917, 55487905, 61839231",124.2,112.0,124.9,6.0
"fuel filter / holder - , e-",vw,golf,30,5,"53820707, 53986991, 54038218, 54058306, 54079016",70.8,59.0,71.4,6.0
fuel injection pump -,skoda,octavia,30,5,"54040408, 54063030, 54582112, 60471158, 62558824",142.1,141.5,148.8,6.0
fuel tank injection -,skoda,octavia,30,5,"53656183, 53656387, 54659768, 58749525, 59101497",141.6,89.2,238.0,6.0
förpump diesel -,skoda,octavia,30,5,"53655666, 53661860, 54421710, 54436057, 54686864",95.6,85.0,107.1,6.0
