part_name,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
"Rear axle - , e-",24,369.8958333333333,355.54999999999995,389.5354461805543,49.231012152776906,52.10962499999886,50.1782066519115,13.2690218696255,-19.639612847220935
Power steering Control unit -,31,200.15483870967742,177.9,193.38296209677432,46.25500618279586,48.96337500000047,51.38042213715466,22.403734382156827,6.771876612903107
"Control unit Xenon - , e-",30,172.82333333333332,176.95,128.17384999999993,44.6494833333334,17.27499999999975,58.31266568414302,26.599654300164918,44.6494833333334
Injection Control unit -,53,487.22264150943397,476.0,456.42081603773516,42.761127358490796,29.70400000000126,58.881908116239316,8.551851375821645,30.801825471698784
Insp.pump Diesel Control unit -,56,267.1035714285714,235.95,230.3162485119047,41.92096130952351,16.072499999999053,91.40684294206365,14.687718637449994,36.78732291666672
Rear axle -,48,328.88124999999997,320.20000000000005,296.62440256696397,41.21074460565489,32.49449999999817,50.14771097628106,12.643017937461671,32.256847433036064
Air-flow sensor -,20,23.685,23.7,64.60170749999999,40.91670749999999,41.681899999999985,41.046023874278895,172.75513421947832,-40.91670749999999
"Side airbags - , e-(Right)",24,92.325,95.25,89.91562500000005,39.963989583333365,40.275624999999884,40.04911211850359,46.54424472686697,2.4093749999999434
ABS Hydraulic pump -,44,464.59090909090907,504.29999999999995,442.608278409091,39.48323295454492,26.530874999998048,60.40582022032908,10.267228412441646,21.982630681818122
"Wheel bearing spindle shaft - , e-(Right rear)",35,224.56,214.2,191.26251309523812,38.908629761904784,11.68125000000029,61.18094057355953,17.651286570920654,33.29748690476189
Brake servo -,57,365.52280701754387,504.2,388.32159283625714,38.394430555555566,18.001750000000214,67.50280158066087,21.44102552182887,-22.798785818713277
Other Control unit -,48,335.0104166666667,284.2,333.9919895833332,37.13970833333343,22.141124999999903,50.47328766301086,10.768202715647611,1.0184270833334714
"Throttle Housing - , e-",24,188.42499999999998,187.6,157.74267500000016,36.78490833333332,24.720999999999762,46.998933801040465,20.082443411445908,30.682324999999853
