part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
ABS Hydraulikoneisto 5E,285.0,A2,2013-2020,3Q0614517,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,300.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,284.0,A2,2005-2013,1K0614517,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,280.0,A3,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A3,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,270.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,255.0,A2,2005-2013,,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto 1Z,250.0,A2,2005-2013,1K0907379,,,Skoda,Octavia,Jarrut,ABS Hydraulikoneisto
