product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date
59249690,Jarrusatula,142.5,A1,2019-2027,4785002350ALKUPER,2ZRFXE,10000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
65250412,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,80000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
65680817,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,72000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
59131988,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,M20AFXS,87000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
62404922,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,83000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
64546416,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,89000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
66223739,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,M20AFXS,64000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
60058881,Jarrusatula,140.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
65107265,Jarrusatula,140.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,115000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
65434801,Jarrusatula,140.0,A2,2019-2027,4785002350ALKUPER,2ZRFXE,103000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
54615836,Jarrusatula,120.0,A2,2013-2018,FI03986645O,1ZRFAE,35000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
60134501,Jarrusatula,120.0,A2,2019-2027,FI03986645O,2ZRFXE,30000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
61746105,Jarrusatula,114.0,A2,2019-2027,4782209100ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
60496425,Jarrusatula,120.0,A2,2019-2027,4785002350ALKUPER,M20AFXS,147000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
63350259,Jarrusatula,160.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,48000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
53850683,Jarrusatula,150.0,A1,2019-2027,46310-F4011ALKUPER,2ZRFXE,2000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
53859861,Jarrusatula,150.0,A2,2019-2027,FI05028803O,M20AFXS,,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
58755576,Jarrusatula,150.0,A2,2019-2027,FI05028803O,2ZRFXE,58000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
62418504,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,8NRFTS,17000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
59249691,Jarrusatula,142.5,A1,2019-2027,4783002360ALKUPER,2ZRFXE,10000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
65434800,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,103000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
65250411,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,80000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
53608052,Jarrusatula,150.0,A1,2019-2027,4783002360ALKUPER,,20000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
65680815,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,72000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
59131987,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,M20AFXS,87000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
62404920,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,83000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
63310198,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,M20AFXS,102000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
64546415,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,89000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
66220602,Jarrusatula,150.0,A2,2019-2027,FI05028803O,2ZRFXE,52000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
66223738,Jarrusatula,150.0,A2,2019-2027,4783002360ALKUPER,M20AFXS,64000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
60058880,Jarrusatula,140.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
65107264,Jarrusatula,140.0,A2,2019-2027,4783002360ALKUPER,2ZRFXE,115000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
54589718,Jarrusatula,120.0,A2,2013-2018,FI03986645O,1ZRFAE,35000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
60134505,Jarrusatula,120.0,A2,2019-2027,FI03986645O,2ZRFXE,30000,Toyota,Corolla,Jarrut,Oikea taka,2026-01-31
55161324,Jarrusatulan pidin,61.0,A2,2002-2007,FI06376738O,3ZZFE,230000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
61766112,Jarrusatulan pidin,57.0,A2,2019-2027,4772209260ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
61416229,Jarrusatulan pidin,47.5,A2,2008-2012,4782209020ALKUPER,1NDTV,262000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
62463270,Jarrusatulan pidin,45.0,A2,2002-2007,FI30987993O,,240000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
62648549,Jarrusatulan pidin,45.0,A2,2002-2007,FI30987993O,,214000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
62648588,Jarrusatulan pidin,45.0,A2,2002-2007,FI30987993O,,214000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
54537570,Jarrusatulan pidin,40.0,A2,2002-2007,FI30987993O,,152000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
59868871,Jarrusatulan pidin,38.0,A2,2002-2007,4772109170ALKUPER,3ZZFE,84000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
55488983,Jarrusatulan pidin,28.5,A2,2002-2007,FI06509801O,4ZZFE,351000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
56121481,Jarrusatulan pidin,28.5,A2,2002-2007,FI06509801O,3ZZFE,467000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
57168980,Jarrusatulan pidin,28.5,A2,2002-2007,FI06509801O,3ZZFE,251000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
57168981,Jarrusatulan pidin,28.5,A2,2002-2007,FI06509801O,3ZZFE,251000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
61855470,Jarrusatulan pidin,30.0,A2,2002-2007,FI09992720O,,266000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
56121480,Jarrusatulan pidin,25.6,A2,2002-2007,FI06509801O,3ZZFE,467000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
54457578,Jarrusatulan pidin,17.1,A2,2008-2012,4772112A10ALKUPER,1ZRFE,234000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
54457585,Jarrusatulan pidin,17.1,A2,2008-2012,4772212A10ALKUPER,1ZRFE,234000,Toyota,Corolla,Jarrut,Jarrusatulan pidin,2026-01-31
53607268,Jarrutehostin,500.0,A1,2019-2027,FI02042722O,,20000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
63127022,Jarrutehostin,500.0,A2,2019-2027,4705012A01ALKUPER,,53000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
66447576,Jarrutehostin,475.0,A2,2019-2027,4705012A01ALKUPER,2ZRFXE,62000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
61721306,Jarrutehostin,427.5,A2,2019-2027,4707047090ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
61751538,Jarrutehostin,427.5,A2,2019-2027,4705012A00ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
61997837,Jarrutehostin,427.5,A2,2019-2027,4707047090ALKUPER,2ZRFXE,40000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
65861514,Jarrutehostin,450.0,A2,2019-2027,4705012A00ALKUPER,M20AFXS,153000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
54151623,Jarrutehostin,370.0,A1,2019-2027,47210-12500ALKUPER,,18000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
55885461,Jarrutehostin,130.0,A2,2013-2018,47200-02E91-BALKUPER,1ZRFAE,70000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
54219687,Jarrutehostin,125.0,A2,2013-2018,FI09389104O,1ZRFAE,92000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
53421835,Jarrutehostin,110.0,A2,2013-2018,4461009D10ALKUPER,1ZRFAE,49000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
54472538,Jarrutehostin,110.0,A2,2008-2012,4720002581ALKUPER,1ZRFE,204000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
61886697,Jarrutehostin,100.0,A2,2013-2018,4461009A30ALKUPER,1ZRFAE,103000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
54066047,Jarrutehostin,100.0,A2,2008-2012,47200-02580-AALKUPER,1ZRFE,77000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
53714970,Jarrutehostin,100.0,A2,1998-2001,FI02154548O,,117000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
64976673,Jarrutehostin,100.0,A2,2013-2018,4461009D10ALKUPER,1ZRFAE,275000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
65203182,Jarrutehostin,95.0,A2,2008-2012,4461009410ALKUPER,1ZRFAE,157000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
65434871,Jarrutehostin,100.0,A2,2008-2012,4461009411ALKUPER,1ZRFAE,225000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
65789967,Jarrutehostin,100.0,A2,2008-2012,4461009411ALKUPER,1ZRFAE,119000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
62753576,Jarrutehostin,100.0,A2,2008-2012,4461009641ALKUPER,1NRFE,109000,Toyota,Corolla,Jarrut,Jarrutehostin,2026-01-31
65434802,Pääsylinteri,500.0,A2,2019-2027,4705012A00ALKUPER,2ZRFXE,103000,Toyota,Corolla,Jarrut,Pääsylinteri,2026-01-31
65107261,Pääsylinteri,500.0,A2,2019-2027,4705012A00ALKUPER,2ZRFXE,115000,Toyota,Corolla,Jarrut,Pääsylinteri,2026-01-31
