model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_extended_traficom_stack,random_search_004,log,62,1344,23.83092023975454,69.16564102507246,0.9851188267765736
xgboost,trusted_recommended_features_without_date_offsets,log_sqerror_balanced,log,66,909,23.900403284951174,78.11842715124453,0.981017065878944
xgboost,trusted_recommended_features_without_date_offsets,random_search_023,raw,66,1667,23.91326652422962,54.359880227201046,0.9908079296015044
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_018,log,65,1132,24.00008542844828,95.6123263029752,0.9715629769922434
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_019,raw,39,1760,24.02155864347432,59.152659763806746,0.9891155894692614
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_017,raw,39,880,24.053223763844752,71.78560142299797,0.9839700914031821
xgboost,trusted_recommended_features,random_search_023,raw,67,1854,24.074647564433466,53.18057817432781,0.9912024353150218
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_020,raw,39,1035,24.12462469341488,86.65209528237895,0.9766431379009103
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_018,log,39,975,24.181657228351714,95.77777394753714,0.9714644769497246
xgboost,trusted_extended_traficom_stack,random_search_018,log,62,1303,24.211610536888426,94.7665676615862,0.9720638430509752
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_004,log,65,1345,24.25227261104161,74.90105913783196,0.9825485194641873
xgboost,trusted_registry_lifecycle_stack,random_search_024,log,40,1731,24.262613227823568,71.51665148037073,0.9840899808161127
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_004,log,63,1343,24.273685988240626,70.1643984647133,0.9846859531296902
xgboost,trusted_registry_lifecycle_stack,random_search_023,raw,40,1360,24.27824827909046,53.46892331609197,0.99110677587643
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_024,log,39,1730,24.335052020023713,70.59759847464288,0.984496269331735
xgboost,trusted_registry_lifecycle_stack,random_search_004,log,40,1349,24.348543417355714,72.88180291159235,0.9834767842235852
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_sqerror_balanced,log,39,1799,24.402616704373894,79.62917157325647,0.9802757383703279
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_022,log,65,456,24.41752902123276,88.14038391182233,0.9758339185389028
xgboost,trusted_recommended_features,random_search_022,log,67,400,24.574598089679125,90.46566656854185,0.9745420203813255
xgboost,trusted_recommended_features_without_date_offsets,random_search_008,raw,66,1437,24.62276727327445,79.48274807232313,0.9803482103060307
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_004,log,39,1343,24.699791349662068,76.85148924308187,0.981627809710149
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_023,raw,39,1856,24.706975478177384,58.913062683488974,0.9892035852218346
xgboost,trusted_manual_all_features_usable_by_xgboost,log_sqerror_balanced,log,63,889,24.71206917161303,80.91633230634322,0.9796329214653641
xgboost,trusted_recommended_features,random_search_003,raw,67,2075,24.775534206681733,66.18438685710682,0.9863740290367082
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_024,log,65,1735,24.818992089544004,71.55041199352989,0.984074956141966
xgboost,trusted_extended_traficom_stack,log_sqerror_balanced,log,62,1237,24.840424001464005,83.3482176475532,0.978390287264348
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_009,log,39,1956,24.848992485445372,77.8325992268399,0.9811557252584528
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_022,log,63,1125,24.85473073192187,92.97258716549202,0.9731115237303171
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_014,raw,39,2284,24.868296156273995,75.3450656182031,0.9823410047256707
xgboost,trusted_recommended_features,random_search_021,log,67,1022,24.892907431264334,81.49590824348462,0.9793401117629276
xgboost,trusted_extended_traficom_stack,random_search_022,log,62,603,24.989658537398007,89.87061170689876,0.974875828173103
xgboost,trusted_registry_lifecycle_stack,random_search_019,raw,40,1759,25.007355737319145,56.237864640780316,0.9901618372281095
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_015,raw,39,1627,25.059290416259042,59.70272850509089,0.9889122169817803
