seed,row_balance_score,price_balance_score,combined_score,max_row_pct_deviation,train_rows,train_row_pct,train_components,train_price_mean,train_price_median,validation_rows,validation_row_pct,validation_components,validation_price_mean,validation_price_median,test_rows,test_row_pct,test_components,test_price_mean,test_price_median
85,0.21729529193533637,0.5007174882731626,0.718012780208499,0.10864764596766463,7937,70.10864764596766,493,273.1115156860275,112.4,1692,14.945676177016164,204,284.67340425531916,94.7,1692,14.945676177016164,189,246.02003546099291,83.15
75,0.0680151930041557,0.6502050932121892,0.7182202862163449,0.03400759650207519,7924,69.99381680063598,505,272.6966431095407,117.9,1702,15.034007596502075,181,313.75910693301995,94.4,1695,14.972175602861936,200,218.73345132743364,94.7
15,0.2172952919353346,0.5042875502918813,0.7215828422272159,0.10864764596766463,7937,70.10864764596766,500,258.16695224896057,112.5,1687,14.90151046727321,202,319.87522228808535,94.4,1697,14.98984188675912,184,281.0364172068356,94.7
62,0.06536525041957475,0.6597119799858002,0.725077230405375,0.032682625209787375,7921,69.96731737479021,492,277.58163110718345,124.9,1700,15.016341312604894,215,275.62047058823526,94.4,1700,15.016341312604894,179,234.31794117647058,82.6
99,0.09363130465506941,0.6379064908148356,0.731537795469905,0.04681565232753826,7930,70.04681565232754,513,248.38625472887767,106.1,1698,14.998675028707712,172,303.72720848056537,94.9,1693,14.954509318964757,201,342.6979326639102,94.9
46,0.126313929864855,0.6250628665862052,0.7513767964510603,0.06315696493242662,7928,70.02914936843035,525,286.3792885973764,107.1,1702,15.034007596502075,190,245.27861339600472,100.8,1691,14.936843035067573,171,223.38273211117684,77.3
41,0.06536525041957653,0.6869234062979602,0.7522886567175368,0.032682625209787375,7921,69.96731737479021,505,246.26477717459917,100.8,1699,15.007508170656303,174,254.9481459682166,100.8,1701,15.025174454553486,207,400.82257495590824,95.2
92,0.1563466124900632,0.6121369054339095,0.7684835179239727,0.07817330624503249,7921,69.96731737479021,481,279.27369019063246,107.1,1707,15.078173306245032,206,203.00374926772116,85.2,1693,14.954509318964757,199,299.44778499704665,101.3
33,0.16429644024379364,0.6459752546437605,0.8102716948875541,0.08214822012189416,7934,70.0821482201219,501,295.15644063524076,106.6,1695,14.972175602861936,177,272.2519174041298,100.8,1692,14.945676177016164,208,155.07163120567375,94.4
27,0.19697906545357924,0.6133331259840106,0.8103121914375898,0.09848953272678962,7926,70.01148308453317,516,283.9503028009084,106.1,1687,14.90151046727321,196,221.4767042086544,90.0,1708,15.087006448193621,174,258.4298009367681,118.4
70,0.15634661249006143,0.663776552607717,0.8201231650977784,0.07817330624503249,7918,69.94081794894444,483,286.22312452639557,112.0,1707,15.078173306245032,216,219.3306971294669,94.9,1696,14.981008744810529,187,250.53490566037738,83.3
84,0.0680151930041486,0.7540790128107361,0.8220942058148847,0.03400759650207519,7923,69.9849836586874,502,293.00006310740883,117.9,1702,15.034007596502075,195,167.60734430082258,94.6,1696,14.981008744810529,189,270.5850235849057,94.7
97,0.03798251037894218,0.7929092075926429,0.8308917179715851,0.01899125518947109,7926,70.01148308453317,479,280.27337875346956,120.3,1699,15.007508170656303,207,240.126603884638,77.8,1696,14.981008744810529,200,257.19192216981133,83.3
96,0.1563466124900632,0.6901445940149659,0.8464912065050291,0.07817330624503249,7921,69.96731737479021,510,295.47872743340486,106.6,1707,15.078173306245032,177,187.7531927357938,94.7,1693,14.954509318964757,199,239.0063201417602,94.9
79,0.08568147690133188,0.7811816870391085,0.8668631639404404,0.04284073845066594,7923,69.9849836586874,500,296.90853212167104,106.2,1703,15.042840738450666,195,173.2397533763946,88.5,1695,14.972175602861936,191,246.7172861356932,106.6
