seed,distribution_column,value,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
20,subcategory,air throttle housing / throttle housing,48,0.6057546693589096,0,0.0,0,0.0,48,0.6057546693589096
20,subcategory,aktivt kollisionsskydd sensor,42,0.5300353356890459,0,0.0,6,0.3527336860670194,48,0.5300353356890459
20,subcategory,air-flow sensor,32,0.40383644623927306,0,0.0,12,0.7054673721340388,44,0.7054673721340388
20,subcategory,clutch cylinder main,27,0.3407370015143867,14,0.8254716981132075,2,0.11757789535567313,43,0.7078938027575344
20,subcategory,crankshaft,6,0.0757193336698637,24,1.4150943396226416,12,0.7054673721340388,42,1.339375005952778
20,subcategory,right upper,18,0.2271580010095911,6,0.3537735849056604,18,1.0582010582010581,42,0.8310430571914671
20,subcategory,rain sensor,30,0.37859666834931854,0,0.0,12,0.7054673721340388,42,0.7054673721340388
20,subcategory,engine block,42,0.5300353356890459,0,0.0,0,0.0,42,0.5300353356890459
20,subcategory,hybrid inverter,0,0.0,0,0.0,40,2.3515579071134627,40,2.3515579071134627
20,subcategory,power steering control unit,26,0.3281171125694094,0,0.0,14,0.823045267489712,40,0.823045267489712
20,subcategory,clutch cylinder slave,16,0.20191822311963653,9,0.5306603773584906,15,0.8818342151675485,40,0.6799159920479119
20,subcategory,fuel filling pipe / tube,40,0.5047955577990914,0,0.0,0,0.0,40,0.5047955577990914
20,subcategory,hybrid batteri,40,0.5047955577990914,0,0.0,0,0.0,40,0.5047955577990914
20,subcategory,distributors,39,0.4921756688541141,0,0.0,1,0.058788947677836566,40,0.4921756688541141
20,subcategory,distributors vacuum regulator,32,0.40383644623927306,8,0.4716981132075472,0,0.0,40,0.4716981132075472
20,subcategory,bränslepump styrenhet,30,0.37859666834931854,6,0.3537735849056604,0,0.0,36,0.37859666834931854
20,subcategory,inverter 12 -> 220 v,0,0.0,24,1.4150943396226416,6,0.3527336860670194,30,1.4150943396226416
20,subcategory,thermostat housing / cap,12,0.1514386673397274,18,1.0613207547169812,0,0.0,30,1.0613207547169812
20,subcategory,dragkrok styrenhet,6,0.0757193336698637,7,0.41273584905660377,17,0.9994121105232217,30,0.9236927768533579
20,subcategory,other sensor,18,0.2271580010095911,12,0.7075471698113208,0,0.0,30,0.7075471698113208
20,subcategory,seat assembled,6,0.0757193336698637,12,0.7075471698113208,12,0.7054673721340388,30,0.6318278361414571
20,subcategory,baklucka styrenhet,30,0.37859666834931854,0,0.0,0,0.0,30,0.37859666834931854
20,subcategory,other transmitters,30,0.37859666834931854,0,0.0,0,0.0,30,0.37859666834931854
20,subcategory,stolsvärme styrenhet/relä,30,0.37859666834931854,0,0.0,0,0.0,30,0.37859666834931854
20,subcategory,fuel tank lid,24,0.3028773346794548,6,0.3537735849056604,0,0.0,30,0.3537735849056604
20,subcategory,fly wheel automat,24,0.3028773346794548,0,0.0,6,0.3527336860670194,30,0.3527336860670194
20,subcategory,förpump diesel,24,0.3028773346794548,0,0.0,6,0.3527336860670194,30,0.3527336860670194
20,subcategory,gear regulator,24,0.3028773346794548,0,0.0,6,0.3527336860670194,30,0.3527336860670194
20,subcategory,left upper,24,0.3028773346794548,0,0.0,6,0.3527336860670194,30,0.3527336860670194
20,subcategory,cylinder head diesel,18,0.2271580010095911,6,0.3537735849056604,6,0.3527336860670194,30,0.1266155838960693
20,subcategory,dipstick,18,0.2271580010095911,6,0.3537735849056604,6,0.3527336860670194,30,0.1266155838960693
20,subcategory,brake intensity regulator,25,0.3154972236244321,0,0.0,0,0.0,25,0.3154972236244321
20,subcategory,other airbags,18,0.2271580010095911,6,0.3537735849056604,0,0.0,24,0.3537735849056604
20,subcategory,bensin/dieselvärmare styrenhet,24,0.3028773346794548,0,0.0,0,0.0,24,0.3028773346794548
20,subcategory,hybrid converter,0,0.0,0,0.0,18,1.0582010582010581,18,1.0582010582010581
20,subcategory,sensor tire pressure,0,0.0,0,0.0,18,1.0582010582010581,18,1.0582010582010581
20,subcategory,abs control unit,18,0.2271580010095911,0,0.0,0,0.0,18,0.2271580010095911
20,subcategory,oil filter holder,18,0.2271580010095911,0,0.0,0,0.0,18,0.2271580010095911
20,subcategory,cylinder head fuel,6,0.0757193336698637,0,0.0,6,0.3527336860670194,12,0.3527336860670194
20,subcategory,wiper arm motor relay,6,0.0757193336698637,0,0.0,6,0.3527336860670194,12,0.3527336860670194
20,subcategory,ignition module,12,0.1514386673397274,0,0.0,0,0.0,12,0.1514386673397274
20,subcategory,roof assembled,12,0.1514386673397274,0,0.0,0,0.0,12,0.1514386673397274
20,subcategory,sensor acceleration,0,0.0,6,0.3537735849056604,0,0.0,6,0.3537735849056604
20,subcategory,mapp sensor,3,0.03785966683493185,0,0.0,0,0.0,3,0.03785966683493185
20,year_start,2013,3010,37.985865724381625,401,23.6438679245283,500,29.394473838918284,3911,14.341997799853324
20,year_start,2019,1072,13.528520949015649,257,15.153301886792454,233,13.697824808935922,1562,1.624780937776805
20,year_start,2005,691,8.720343260979304,184,10.849056603773585,163,9.58259847148736,1038,2.1287133427942813
20,year_start,2002,714,9.010600706713781,82,4.834905660377359,193,11.346266901822458,989,6.511361241445099
20,year_start,1998,561,7.079757698132257,153,9.02122641509434,163,9.58259847148736,877,2.5028407733551035
20,year_start,2004,485,6.120646138313983,148,8.726415094339622,107,6.290417401528512,740,2.6057689560256385
20,year_start,2009,493,6.221605249873801,128,7.547169811320755,78,4.5855379188712515,699,2.9616318924495033
20,year_start,2008,290,3.6597677940434123,113,6.662735849056604,82,4.820693709582598,485,3.002968055013192
20,year_start,2020,221,2.78899545683998,131,7.724056603773585,63,3.7037037037037033,415,4.935061146933605
20,year_start,1993,157,1.9813225643614336,8,0.4716981132075472,36,2.1164021164021163,201,1.644704003194569
20,year_start,1996,96,1.2115093387178193,35,2.063679245283019,30,1.763668430335097,161,0.8521699065651995
20,year_start,1988,68,0.8581524482584554,17,1.0023584905660377,17,0.9994121105232217,102,0.14420604230758227
20,year_start,1992,42,0.5300353356890459,30,1.7688679245283019,12,0.7054673721340388,84,1.238832588839256
20,year_start,1983,6,0.0757193336698637,3,0.1768867924528302,24,1.4109347442680775,33,1.335215410598214
20,year_start,1984,17,0.21453811206461385,6,0.3537735849056604,0,0.0,23,0.3537735849056604
20,year_start,1982,1,0.012619888944977283,0,0.0,0,0.0,1,0.012619888944977283
20,year_end,2020,2941,37.11509338717819,389,22.93632075471698,478,28.10111699000588,3808,14.178772632461211
20,year_end,2027,1293,16.317516405855628,388,22.87735849056604,296,17.401528512639626,1977,6.559842084710411
20,year_end,2013,1184,14.941948510853104,312,18.39622641509434,241,14.168136390358613,1737,4.228090024735726
20,year_end,2007,714,9.010600706713781,82,4.834905660377359,193,11.346266901822458,989,6.511361241445099
20,year_end,2009,485,6.120646138313983,148,8.726415094339622,107,6.290417401528512,740,2.6057689560256385
20,year_end,2012,290,3.6597677940434123,113,6.662735849056604,82,4.820693709582598,485,3.002968055013192
20,year_end,2006,299,3.773346794548208,66,3.891509433962264,94,5.526161081716637,459,1.752814287168429
20,year_end,2001,262,3.3064109035840485,87,5.129716981132075,69,4.056437389770723,418,1.8233060775480268
20,year_end,1997,157,1.9813225643614336,8,0.4716981132075472,36,2.1164021164021163,201,1.644704003194569
20,year_end,2011,96,1.2115093387178193,35,2.063679245283019,30,1.763668430335097,161,0.8521699065651995
20,year_end,2018,69,0.8707723372034326,12,0.7075471698113208,22,1.2933568489124045,103,0.5858096791010837
20,year_end,1992,68,0.8581524482584554,17,1.0023584905660377,17,0.9994121105232217,102,0.14420604230758227
20,year_end,1999,42,0.5300353356890459,30,1.7688679245283019,12,0.7054673721340388,84,1.238832588839256
20,year_end,1987,7,0.08833922261484099,3,0.1768867924528302,24,1.4109347442680775,34,1.3225955216532366
20,year_end,1991,17,0.21453811206461385,6,0.3537735849056604,0,0.0,23,0.3537735849056604
21,brand,toyota,2894,36.471329552614996,595,35.0,405,24.02135231316726,3894,12.449977239447737
21,brand,vw,2437,30.712035286704477,590,34.705882352941174,763,45.25504151838671,3790,14.543006231682234
21,brand,skoda,2604,32.816635160680526,515,30.294117647058822,518,30.723606168446025,3637,2.522517513621704
21,model,corolla,2894,36.471329552614996,595,35.0,405,24.02135231316726,3894,12.449977239447737
21,model,golf,2437,30.712035286704477,590,34.705882352941174,763,45.25504151838671,3790,14.543006231682234
21,model,octavia,2604,32.816635160680526,515,30.294117647058822,518,30.723606168446025,3637,2.522517513621704
21,category,electric / transmitter / databox / sensor,1813,22.848141146817895,477,28.058823529411764,522,30.96085409252669,2812,8.112712945708797
21,category,vehicle exterior / suspension,1297,16.345305608065534,295,17.352941176470587,206,12.218268090154211,1798,5.134673086316376
21,category,engine,1291,16.269691241335853,223,13.117647058823529,266,15.776986951364174,1780,3.1520441825123235
