seed,split,mean,median,std,min,max,p25,p75
9,train,283.56408575031526,106.1,648.4739632945633,5.9,4641.0,53.2,236.8
9,validation,279.10679267572357,85.4,592.5109852608452,11.8,4165.0,53.2,185.6
9,test,202.84358068315666,106.65,340.44509233174347,11.8,4641.0,59.2,212.3
10,train,273.36685591723443,112.3,592.4462200078976,5.9,4391.1,56.0,236.8
10,validation,242.2940483205657,89.0,500.8694399408685,5.9,4641.0,47.4,235.9
10,test,287.24422850412253,89.6,738.3970785844259,5.9,4641.0,59.0,211.3
11,train,289.9468442312547,124.2,634.8823190273312,5.9,4641.0,59.0,237.2
11,validation,151.90130409010078,70.8,380.7869384749514,11.8,4391.1,47.4,119.0
11,test,299.3008177570093,95.2,625.2361597446862,5.9,4641.0,59.0,236.8
12,train,308.44940761280566,127.4,658.830021386069,5.9,4641.0,59.0,238.0
12,validation,178.76558441558444,82.9,322.09976147145983,5.9,4391.1,53.1,184.275
12,test,186.38682811577084,71.2,531.2676597516826,5.9,4165.0,42.5,154.2
13,train,298.4774621212121,107.1,651.3559278333928,5.9,4641.0,56.2,237.1
13,validation,225.98627565982403,94.7,575.862001748692,5.9,4641.0,53.2,190.4
13,test,186.53968160377357,84.05,332.9309249000832,5.9,4391.1,53.1,218.3
14,train,292.2009580234464,118.3,636.6922515003738,5.9,4641.0,56.2,237.1
14,validation,256.23280423280426,95.2,583.268676113344,5.9,4391.1,59.0,219.0
14,test,184.7879075281565,71.4,438.35147285758467,5.9,4165.0,47.4,177.0
15,train,258.16695224896057,112.5,546.5047736974392,5.9,4641.0,56.2,236.0
15,validation,319.87522228808535,94.4,740.0621572049629,5.9,4343.5,56.0,228.05
15,test,281.0364172068356,94.7,701.7063509345437,5.9,4641.0,47.6,226.1
16,train,278.4701754385965,106.4,609.4834549318824,5.9,4391.1,56.2,236.65
16,validation,299.0075615474795,112.3,644.7430778090394,5.9,4641.0,55.2,236.5
16,test,206.37901891252955,73.19999999999999,529.356192297378,5.9,4641.0,53.1,177.6
17,train,306.01430550308527,118.4,669.9377212337354,5.9,4641.0,53.5,236.8
17,validation,160.54863905325445,94.9,273.2785353471977,5.9,3986.5,59.0,177.9
17,test,215.52224852071004,84.1,492.05890321119034,5.9,4641.0,47.4,212.3
18,train,274.6647615442846,100.6,615.547191298273,5.9,4641.0,53.1,236.0
18,validation,244.02339422510312,94.4,559.4111834830665,11.8,4391.1,56.3,201.7
18,test,279.4574793875147,142.3,594.2457295802332,5.9,4641.0,59.3,236.5
19,train,270.00671707624446,112.1,580.8684773920205,5.9,4641.0,59.0,236.8
19,validation,252.94488468361916,82.8,580.0806880128614,5.9,4641.0,50.45,177.9
19,test,292.26330383480826,94.9,723.7096100017691,5.9,4343.5,47.4,237.1
20,train,270.13806158505804,106.1,610.4732625834212,5.9,4343.5,56.0,236.5
20,validation,234.65047169811322,106.8,540.1055951162548,5.9,4641.0,59.1,204.025
20,test,309.86372721928274,84.1,633.4974010309146,5.9,4641.0,47.4,236.5
21,train,278.2772148708255,106.6,612.0528770276696,5.9,4641.0,53.3,236.5
21,validation,250.9114117647059,94.9,575.5977347433521,5.9,4289.9,55.35,230.025
21,test,255.59922894424673,94.9,595.575196292269,5.9,4391.1,59.0,213.5
22,train,303.6531119808105,112.1,674.9241240000952,5.9,4641.0,55.7,236.5
22,validation,204.70082498526813,100.5,282.3727537129127,5.9,2142.0,53.3,266.4
22,test,183.7967116852613,83.0,461.4483831442628,5.9,4641.0,53.1,176.95
