model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,log_half_features_leaf_1,log,61,44.88982942866385,2.2881607226012224,97.40728668110498,11.688053968621261,0.9739265115448381,0.003822755031156589,16.414591174613214,2.06986745975019,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_041,raw,65,45.08720431856351,2.6050817590706288,76.02134051047457,9.14955900031021,0.9841206394180223,0.0023276782801873526,27.569558868301872,2.243338729138967,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_044,raw,66,45.12734225829776,3.4966652418718693,75.32200296245304,11.374383483925312,0.984441886505192,0.0029856052103412103,28.469441112886933,3.323885522806398,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_041,raw,66,45.186661221084236,2.5664455516152813,76.61987217760036,9.08736097644643,0.9838590975973702,0.0023789725375833364,28.042542774610908,2.6397294337119255,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_044,raw,65,45.2580378625955,3.58032013897047,75.63116470488352,11.591448476206892,0.9843106282393317,0.0030907240951558437,28.53841846490943,3.2894624877597507,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,random_search_041,raw,66,45.603800492779456,2.3749361675078355,76.93528724985472,7.815396449089774,0.9837737166880824,0.0016186418502533184,27.74529094395923,2.8854468873517587,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_041,raw,67,45.64501499292233,2.5523379557359096,77.09627233787458,8.732997087814718,0.9837155332675048,0.0019170608559276178,28.056862005239516,2.9539295374261965,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_017,raw,66,45.654222110865305,2.2030828311896347,79.20501486586335,8.691747600063604,0.9825543565711197,0.0034797273054468464,28.39062474316089,3.260560591162843,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,log_half_features_leaf_2,log,65,45.68496248804549,3.4624596677436146,98.7566555981515,10.192268328572391,0.9730395243974961,0.004216592388361446,16.733462965117205,2.7372733155326294,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,random_search_044,raw,66,45.6901202277519,3.8292589185437897,77.08175793624477,11.767088773133532,0.9837286899587878,0.0030588324657573065,27.936677300266073,3.225751547877698,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,log_half_features_leaf_2,log,66,45.728233848823095,3.4780065942767413,99.60539154161755,10.483640751367815,0.9725358019583101,0.004564316660986452,16.420359024837907,2.4795616311356055,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_017,raw,65,45.76615353098589,2.480891328014839,79.51578438070166,8.973900205807658,0.9824388170207241,0.0034227609669191354,28.546432499388413,3.1497717902098277,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_044,raw,67,45.788244990695965,3.844902055774003,77.42339780566482,11.416186994026948,0.9835908450893691,0.0028938326671058734,28.187583241036094,3.1700883169220697,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,log_half_features_leaf_2,log,62,45.813115229524094,3.5878350585175336,99.31032551158218,11.517892159488458,0.9727703752821804,0.004469493536769937,16.616392744942715,2.6167046704616945,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,random_search_041,raw,61,45.92430408850187,2.3725637690375554,78.28224580187299,8.824133095329048,0.9831459054206177,0.0023602911132976495,27.555022484049967,2.700504453759111,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,log_half_features_leaf_2,log,61,45.99863053033343,3.4199909302769194,101.24839219551518,12.293300018991808,0.9716226969128154,0.00518905496450229,16.657139882409876,2.538712541668623,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_041,raw,62,46.204501000139174,2.3332116203724156,78.33064486022441,8.686043755984302,0.9831171145967522,0.002364560402342876,27.98623229858089,2.5869041597840132,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_044,raw,62,46.28614109543643,3.4270860630191606,78.05203490009725,10.393739475408704,0.9833024298036304,0.0026407622257734833,28.459077276467625,3.3598606091945045,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,random_search_017,raw,61,46.29803523729189,2.8088787993253947,80.82532451489234,9.974959507386375,0.9818285851101871,0.00386762930641926,28.44571228638276,2.9992993423974403,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,random_search_032,log,66,46.30570181091852,3.220917282452249,100.5042794934919,10.962347915723315,0.9723695314854227,0.002690890903430051,17.662568157364838,2.84801529626746,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,random_search_044,raw,61,46.310925955078474,3.541230000573237,78.12778156236713,10.67988275557825,0.9832683764902597,0.002764029634254595,28.450539173734064,3.3465619000523623,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_017,raw,62,46.363646690134026,2.6405254132830898,80.83074601528438,9.42419039800347,0.9818195920485219,0.003782826305290033,28.44553011371416,2.9110787397997897,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_041,raw,62,46.41399756313811,2.281775614967269,78.92397993309069,7.657387141521926,0.982915101428977,0.0016200984963123904,28.258558873085775,3.021429809264521,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set,random_search_044,raw,63,46.45501858353104,3.8174898975709755,79.0343370317089,10.679952997907188,0.982902412514909,0.002632113689272721,28.000381050700383,2.9735200009960825,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set,random_search_041,raw,63,46.508523392284495,2.268144358628288,79.10920661734444,7.1010230112456325,0.9828400945866215,0.0013225652123890288,28.38250637280072,2.6403060259852382,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_044,raw,62,46.5371941429441,3.9935156311065514,79.41610050707715,11.095660482344625,0.9827329726343405,0.002825470997717073,27.924360094468252,3.1120074731572953,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_032,log,67,46.65672342487122,2.8154157120343344,101.81736297912819,9.864303635427385,0.9716239292661795,0.0021140723756791478,18.002723614544845,2.73332296658058,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_032,log,62,46.67312509870782,3.1148695780562123,101.53013912261426,9.075898811959163,0.9717782286057844,0.0016182375840212062,17.51114206913399,2.823731426182369,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set,random_search_032,log,63,46.75165205308607,2.7918873172216183,101.9894870858244,8.425906687665089,0.9714995292788252,0.0013846417017562413,17.666474250885383,2.9246110653807045,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_028,raw,66,46.93817434119731,2.085917160517326,81.88130429776427,8.7051420124149,0.981345375829415,0.0037994429687510708,28.401965248148173,2.926055417784723,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_028,raw,65,46.98934721521031,2.117408586795162,81.89835220023517,9.141450442572742,0.9813210556276948,0.00397422550538876,28.48335305931706,2.916621272785923,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,random_search_017,raw,66,47.026048140659235,1.6577459306152706,82.28731798271805,7.171112184309712,0.9811792288999455,0.0034276409385525946,28.279210742036977,3.200318832637847,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_072,log,65,47.378200203216394,5.3287797382469675,96.88494245503128,11.511888836980907,0.9742692386958182,0.0034028939070427527,20.4541145408376,2.5404820241065553,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_017,raw,67,47.390560784180536,1.4756978059036572,83.11904552967007,6.747358058436662,0.9807885918378788,0.003467481578784016,28.40036679269018,3.5090825358145783,4
