part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
Laturi,100.0,A2,2008-2012,270600T091,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,95.0,A2,2008-2012,270600T091,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,85.0,A2,2002-2007,2706022210,2ZZGE,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2008-2012,270600T091,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2013-2018,270600T200,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,1998-2001,,,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2008-2012,270600Y091,1NRFE,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2008-2012,270600Y090,1NRFE,,Toyota,Corolla,Moottori,Laturi
Laturi,90.0,A2,1998-2001,,3ZZFE,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,270600D030,E3ZY52L,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,1998-2001,270600D030,,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2008-2012,270600Y091,1NRFE,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,270600D030,,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,270600D140,,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Laturi
Laturi,76.0,A2,2002-2007,270600D030,3ZZFE,,Toyota,Corolla,Moottori,Laturi
Laturi,80.0,A2,1993-1997,269898,,,Toyota,Corolla,Moottori,Laturi
Moottorin Koppa,45.0,A2,2002-2007,,1CDFTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.5,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,50.0,A2,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,45.0,A2,1998-2001,1121222030,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,50.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.5,A2,2002-2007,,1CDFTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,50.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.5,A2,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,50.0,A2,2002-2007,112120D060,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,50.0,A2,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,33.2,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,39.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.0,A2,2008-2012,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,45.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,33.2,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,33.2,A2,2002-2007,1121222130,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.0,A2,1998-2001,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,40.0,A2,2008-2012,,1ADFTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,30.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,30.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,25.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,25.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,25.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,30.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,30.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,25.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,28.5,A2,2002-2007,1121222070,4ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottorin Koppa,30.0,A1,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin Koppa
Moottori Bensiini,3090.0,A2,2019-2027,190000T580,2ZR,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3295.0,A1,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3000.0,A1,2019-2027,XM20AE92,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A2,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A2,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3000.0,B1,2019-2027,,,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A1,2019-2027,190000T840,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3195.0,A2,2019-2027,,2ZR,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3200.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A1,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2900.0,A2,2019-2027,190000T840,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2900.0,A1,2019-2027,190000T840,,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2900.0,A2,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3000.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3000.0,A2,2019-2027,190000T580,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,2900.0,A2,2019-2027,190000T840,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A2,2019-2027,1900024320,M20AFXS,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3100.0,A2,2019-2027,190000T840,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
Moottori Bensiini,3000.0,A2,2019-2027,190000T820,2ZRFXE,,Toyota,Corolla,Moottori,Moottori Bensiini
