example_source,product_id,part_name,brand,model,quality_grade,mileage,year_mid,price,predicted_price,base_value,net_shap_effect,reconstruction_error
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,589.7,589.8115000000028,370.8448003472224,218.96668980394205,9.84883831733896e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,595.0,594.6004000000003,370.8448003472224,223.75559131074715,8.342030696439906e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,593.1,593.2722750000033,370.8448003472224,222.42749478329443,2.013051346239081e-05
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,592.8,592.8750249999972,370.8448003472224,222.03023893504806,1.4282273241406074e-05
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,592.0,591.8867499999999,370.8448003472224,221.04195932429585,9.671518341747287e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,589.9,590.2107499999969,370.8448003472224,219.36596656044773,1.6907673284549674e-05
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,589.7,589.9512500000026,370.8448003472224,219.10644083896727,8.813812883090577e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,595.0,594.5694000000003,370.8448003472224,223.72459116229538,8.490482514389441e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,593.1,593.298150000003,370.8448003472224,222.45336857410044,1.892131979275291e-05
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,592.8,592.8906499999975,370.8448003472224,222.04586273550956,1.3082734426461684e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3543.1,3563.421750000013,370.8448003472224,3192.577000509342,5.085655084258178e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3530.6,3552.4085000000136,370.8448003472224,3181.563760726333,6.107354192863568e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3529.3,3551.251500000021,370.8448003472224,3180.406717613416,1.7960616787604522e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3561.1,3569.9717500000115,370.8448003472224,3199.127028278014,7.862522488721879e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3549.7,3568.7994999999833,370.8448003472224,3197.9549191017,0.00021944893933323328
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3538.9,3559.565249999989,370.8448003472224,3188.720594350212,0.00014469744519374217
largest_overprediction,64533287,Gear Box 6 Speed -(Front),toyota,corolla,A2,,2010.0,899.8,1084.631749999993,370.8448003472224,713.7869637597759,1.4107005199548439e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4144.0,4152.0530000000035,370.8448003472224,3781.208178262706,2.1390074834926054e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4129.3,4138.133250000015,370.8448003472224,3767.2884881059526,3.845315950457007e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4127.9,4133.804749999987,370.8448003472224,3762.95993667503,1.2977734513697214e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4165.0,4161.361874999993,370.8448003472224,3790.5172125907566,0.00013793798552796943
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4151.7,4159.236374999981,370.8448003472224,3788.3915676866945,6.966064574953634e-06
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4139.1,4151.582625000013,370.8448003472224,3780.737797205929,2.7446861167845782e-05
cheap_item,54064944,"Ignition Diesel relay- , e-",vw,golf,A2,319000.0,2006.5,5.9,7.979750000000055,370.8448003472224,-362.8650521947524,1.847530060494762e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.047750000000044,370.8448003472224,-364.7970532145888,2.867366426961837e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.047500000000045,370.8448003472224,-364.7973032451736,2.8979512505244998e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.048250000000044,370.8448003472224,-364.7965519465155,1.5992931050590187e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.048500000000043,370.8448003472224,-364.7963047019582,4.3547358323792196e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.092750000000044,370.8448003472224,-364.7520553251866,4.977964201735574e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.9448008607862,5.135638154740718e-07
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.9448022672435,1.920021144741213e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,370.8448003472224,-364.9448028438661,2.4966437415230303e-06
