model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,best_iteration_mean,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_062,raw,65,836.5,72.32990557896032,19.66428022937486,267.703022949022,102.48845202463292,0.7814283741349006,0.12416071071277275,17.92444019317627,1.652973092569234,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_014,raw,67,1026.5,72.33173417861411,11.161211294912073,250.27840659539015,63.36047209374445,0.8186041078823105,0.0711491827660377,19.90935249328614,2.0229548388635363,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_037,log,40,1828.0,72.35642908345052,5.2675003914330185,273.1156151635779,50.8156280991819,0.7918721149735645,0.05881545184565636,16.356168047181974,1.0320613195184158,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_036,log,67,1744.75,72.35971609436814,4.159596933526474,256.4445659513759,18.96021765659184,0.8175044063904271,0.02901616559727429,16.450710425613718,0.5822755562339585,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_069,log,67,1617.75,72.64994306246835,7.24210191543029,251.96117910005484,45.50822029952624,0.8198273804570595,0.057927583266330705,17.805512318576355,0.7962322969365788,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,log_absoluteerror_regularized,log,63,2594.0,72.74912380071746,8.355790147129253,276.8196485529038,67.6832584040804,0.78160697581378,0.08309067558051836,16.650726186665608,1.5681227740360848,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_042,raw,63,880.5,72.7626044677282,10.567001146753233,276.1244529207058,56.780976334433035,0.7881481137743582,0.06582474041635718,18.262349128723145,2.205050063551616,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,log_absoluteerror_balanced,log,62,1134.25,72.82259192135024,13.638528849642363,270.6197027386051,90.73561815737732,0.7858303442384162,0.12395225378061665,15.081612134974666,0.6992449857664709,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_055,log,40,414.75,72.9055000238911,12.95350744570118,209.41931019364898,53.96689791288809,0.8755906490202616,0.04999475947562348,17.852705676509792,1.824756165122883,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_002,raw,67,473.25,73.3059209831707,12.694686390330133,276.7157423504052,74.19051151350037,0.7819410683335011,0.09243775525750177,17.323289489746088,2.040894568191955,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_042,raw,39,742.25,73.39124405190773,14.527799964314442,287.23939280815824,71.52201214106985,0.7657056719973125,0.09164617958426913,16.148198318481448,1.5655302908399298,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_008,raw,67,887.75,73.47111522232025,11.44636568342313,262.3993511099126,60.85980766937776,0.8080324375485264,0.06963915572736086,21.473056983947757,0.5092724836084687,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,log_absoluteerror_regularized,log,40,2593.75,73.48725400363375,8.748895546774708,280.80612295366626,63.65251768320421,0.7780147114130056,0.07782318655571013,17.177797536610548,1.7890021169521726,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_002,raw,63,538.25,73.83691185412012,12.93629403539374,281.3293397529445,80.71460644743232,0.7725061217497389,0.10034714710231073,17.03196907043457,1.0835278189611,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,log_absoluteerror_regularized,log,67,2595.5,74.14397674616302,7.597729480372306,278.77797425024767,60.45845492262735,0.7815784696332704,0.07320068330672719,17.04815951560246,1.1810906166225692,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,log_absoluteerror_regularized,log,62,2595.75,74.17441104443235,9.956167225717863,279.32932240008864,69.8822441332261,0.777580937907605,0.0860326117059761,16.750630329035936,1.2266858433722432,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_042,raw,65,861.25,74.30176248080082,14.529554983627708,294.436288995581,67.67535806750932,0.756375252154853,0.08611474116720082,17.616068458557137,1.5046772249463332,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_006,raw,62,769.0,74.32960195554483,9.62434354381136,276.6057598844446,45.7727766621419,0.7897626525216752,0.047190548467823494,17.856202983856203,0.6273934476987869,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_036,log,66,1500.0,74.37397795590253,7.695580003239066,263.66299983677965,35.537805086075466,0.8024652017799658,0.06402014764584017,16.375047180056686,1.2597502870064574,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,log_absoluteerror_balanced,log,66,720.5,74.47213865413343,12.672451986187546,282.6803216611198,80.64147291287554,0.7719413370080624,0.11130302422733247,15.092406600037503,1.4479073770532833,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_037,log,62,1828.75,74.4777170115988,6.1331128635929515,280.52518879500604,58.4411072163614,0.778760408895222,0.07109294609158906,17.183350304430164,1.090565035305584,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_057,log,40,1696.75,74.50046386916843,6.031021044569354,261.6819100990394,51.201407158981525,0.8058966995405034,0.06690983736007834,16.934888069098605,0.6089576359473627,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_055,log,63,334.5,74.52879477664153,12.786707263485289,216.65046407834149,58.7311708122329,0.8651286661115691,0.06125841210599321,18.681944245444335,1.9317617545570052,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_020,raw,65,413.0,74.5428501768142,17.976711899277703,289.5737632289523,90.27148298390696,0.7548755168204275,0.12835271753427327,17.722253417968748,1.4246764648664354,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,log_absoluteerror_balanced,log,40,672.5,74.6318940298288,13.776272770237345,279.6094380921,91.54010393344153,0.7708288089748276,0.12842854625895292,15.587973713781752,1.1231684615232858,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_020,raw,62,413.75,74.67081069060342,9.557099409906973,269.31044625113395,61.71145922762991,0.7956946910851094,0.07627363821045496,21.18065567016602,2.379996712763133,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_055,log,62,360.25,74.74406640168328,12.251062217638465,218.30077372839673,62.02759472229763,0.8622470748137047,0.06532160267473974,18.456955683569355,2.162915598354664,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_043,raw,62,510.5,74.89197197564269,12.714684549625735,247.0650737115571,72.7026125160443,0.8248267586202613,0.07976626104834149,22.83439617156983,0.8011807451319742,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_057,log,62,1624.25,75.10072522543547,6.714875565537385,262.48240461244416,47.90832109673611,0.8034761803858941,0.06927456436604994,17.163754621576814,1.1101342463063681,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_008,raw,66,580.75,75.10905286679018,14.047755245680433,271.0682628091396,66.94975475836502,0.7937102868672119,0.0791140141666611,21.245461845397948,1.801883885928232,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_006,raw,63,810.0,75.14065876690759,8.733516198142507,283.49005060349356,39.80519984204766,0.7791218407494822,0.040128486186276825,18.035197257995605,1.077841656149132,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_007,raw,63,742.25,75.24718550430521,18.732285857751407,280.72523083586395,99.11571873961948,0.7656970604262239,0.13247236768965914,20.852147102355957,1.6130465782076906,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_003,raw,40,528.25,75.30926991914026,8.967668674521027,262.3325141141288,55.832893240386,0.8074255576854328,0.06665927329548499,20.6879940032959,2.3096005384722558,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_003,raw,67,852.5,75.30997681333183,10.697888112581767,267.1709572021294,63.808030715761795,0.7979134420874329,0.07657668511496753,19.318680477142333,1.7159217471494428,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_062,raw,67,767.75,75.31350455394943,11.220842296929764,270.49517351484644,59.341238032370384,0.7959336089917903,0.0678394879976478,19.354852104187014,1.3071330494716635,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_037,log,63,1827.0,75.3385728052183,7.917901097227766,284.90300561742146,60.30895332656657,0.7721058733816725,0.0742098753231994,17.160384378539344,0.8475939504270825,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_040,log,40,983.5,75.47578645369187,10.824613305076385,284.58030404529217,76.81339149459275,0.7676236691677445,0.09667405645375203,17.369155413700632,1.1518164907139803,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,log_absoluteerror_regularized,log,66,2280.25,75.6098085386241,8.350622282924983,283.4628622335255,60.53186641865221,0.7744984159294327,0.0745943596269009,17.710975568474247,1.398898306201076,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_006,raw,39,530.25,75.75513902231313,9.178245018268845,285.6972082667378,45.72448426139216,0.7756286314201196,0.048935991813582734,18.772006225585937,1.0351118811515068,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_020,raw,66,591.0,75.77759868062032,8.275290570570775,262.2479906272191,70.82448707054128,0.8055160674670202,0.08693192163515953,21.74533748626709,2.678156494495912,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_003,raw,63,444.25,75.80564210031088,9.149465019741344,275.39851835184095,57.20486975907582,0.7887161309452091,0.06717786520353566,19.472603034973144,2.077666609909528,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_042,raw,40,823.5,75.87438537493874,13.313703086787504,295.6658940591537,60.84872133277934,0.755821154944761,0.0769345387699485,17.616300201416017,2.4670387890685683,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_040,log,62,800.75,75.97094936772926,7.722524592462078,288.99817517721215,61.384826460587504,0.7664071621680051,0.0765837693921376,17.71173847377533,1.544558277066939,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_020,raw,39,264.5,75.98368370154071,15.241271501192362,283.84886526981865,76.67337198255835,0.7694776677083797,0.09621299140844476,18.203854084014893,0.5304582315988663,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_043,raw,63,307.75,76.12720480323128,12.043468592821355,260.4196638066604,49.875256145144775,0.8121133012500361,0.052556320662513624,22.55646810531616,1.9771295287882733,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_040,log,66,1013.25,76.17222481645284,7.4517663374740275,284.2833621143699,67.25675531427129,0.7716827936627766,0.08492490997735132,16.14299379320716,0.8341809128874277,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_003,raw,66,850.0,76.2418314461227,8.444014255334215,280.3672516632472,41.49489111833656,0.7837613732089095,0.043359680031839674,18.9067512512207,1.5672718037059223,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_040,log,67,932.75,76.27744765346124,6.479957894134535,285.704718855132,61.95649717644296,0.7715963184548325,0.07665715021293763,16.932839311198858,0.8460219987563146,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_050,raw,66,297.0,76.49974879005339,11.451392075860062,259.4483250810665,72.2856423578912,0.8082486111661447,0.08707859795564377,23.89803333282471,1.8648784994352825,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_005,log,67,1831.25,76.54436025569046,8.077577147385792,282.44974525933236,53.59567298299664,0.775668577554907,0.07106565616079143,16.068994316302042,0.8932060194596149,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_001,raw,66,644.25,76.56255394858785,13.065861660923607,282.88081905580157,59.03480547401641,0.7762489531027926,0.07542364306224225,19.788586997985842,1.0711677794925536,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_043,raw,40,310.0,76.64920630655746,13.777680466457602,266.35698083556036,67.45912863500665,0.7992659621578337,0.08307520153695958,24.42410888671875,3.174334998009104,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_006,raw,40,763.0,76.65344009948997,10.316064878317528,287.07712993338953,44.95340425826849,0.7740654297719209,0.04510083290662519,17.94247398376465,0.9791329866763876,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_041,raw,63,590.25,76.69920387495489,17.51353594350377,296.43758043044903,84.36673768742834,0.7462539649827116,0.11600852583403844,19.1416072845459,1.0435353971002488,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_057,log,67,1494.0,76.94145137515453,7.584652693475522,268.1506327233949,52.5835400957456,0.7945591363851943,0.07611294113581626,18.369769249070856,0.4002580171356598,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_005,log,66,1399.75,76.97740648961627,8.226549851900819,290.62530203799946,54.88875440051973,0.7634685289565003,0.07369654064079134,15.105985766321684,0.9129135424205087,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_037,log,66,1493.0,77.28077054166637,10.230427935136309,288.8687129399392,70.60231867376217,0.7632376197763066,0.09045096545823372,16.630587557972873,0.3873164132261917,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_002,raw,65,482.5,77.49443946053755,22.78640862461427,317.5283265307808,109.19181481211392,0.6984487551459009,0.1767791170479785,15.65355186462402,2.0479035002488333,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_062,raw,66,670.0,77.58152776113798,11.121780990577184,285.5694440352204,54.0736248586359,0.7745046465309037,0.06301699228726312,20.083946228027344,1.9090392581600395,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_040,log,63,896.25,77.78235256028742,7.973507122306599,295.8784401715995,62.35929428942876,0.7539031925782167,0.07984963262090262,18.003988028915575,0.467809011107138,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_027,raw,62,535.25,77.91375196150457,15.51994600686064,210.0533599487865,54.380403692292084,0.8756353707852925,0.05077091711196761,27.811039733886723,3.321435034600803,4
xgboost,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,random_search_008,raw,62,461.25,77.92532899898148,11.259631872558238,285.97039913238814,51.46610220617612,0.7736503520338491,0.05962661996467824,20.374456596374507,0.9919501338172135,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_062,raw,40,706.5,77.98224938209634,12.742329116026337,286.6224087814734,64.00602489215342,0.7715219498170387,0.0769540008197185,19.636257839202884,1.2127202734533935,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_006,raw,65,668.25,78.15389966266218,12.938457721352188,303.6361404074614,51.060621759817046,0.7462825951395238,0.05904262088448607,17.850876998901366,1.727177644243254,4
xgboost,strict_part_identity_grouped_cv,trusted_manual_all_features_usable_by_xgboost,random_search_057,log,63,1430.5,78.42252685168191,4.469520378744744,279.8172727493086,39.16917498621081,0.7815280770530026,0.05059302864509054,17.837160832458693,2.3474563461283373,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_037,log,67,1475.5,78.44739061456504,9.642766107343895,292.91959762497913,67.39836819711726,0.7581426658094582,0.0863270092347017,16.98538835243397,0.8847300941217623,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_006,raw,66,762.0,78.5290298880855,13.443988728213082,301.8310223381996,55.531831540438944,0.7485843411617195,0.06661408578750412,18.97048149108887,1.3887099656735384,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_020,raw,40,333.0,78.72351788242283,13.81427587889653,301.57339220984665,74.94662839449758,0.7415346566797081,0.10208177505362248,20.346529483795166,0.625348439674079,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_027,raw,40,351.0,78.75822935679285,18.573865522178824,207.58929057566178,69.19164871515295,0.8748020362884328,0.06898612598782156,29.481739044189453,3.475276750764736,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_006,raw,67,738.25,78.81432224657895,14.37247164938682,302.79289650567387,57.863380045889535,0.7461865740526884,0.07313574740636522,19.0451026916504,0.6500149304101075,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_050,raw,67,165.25,78.88014440870873,12.993589544327053,295.246131665983,62.500887578747886,0.7535607656388368,0.09173584252825445,20.264119148254373,1.070749544139828,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_049,raw,40,603.5,78.89198742924137,16.018813454373603,271.1233186652439,94.80181233750052,0.776261174832052,0.12739456399847857,23.97482852935791,1.7612867491447528,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_041,raw,40,605.25,78.92401312370752,20.258391184140162,308.3908063401334,103.29300658563089,0.71788976740028,0.1597761081654134,18.317082214355473,0.9533011761286573,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_002,raw,40,515.5,79.01456724420753,19.777463021112343,310.9006730268321,105.67723925410623,0.7117701040399509,0.15443681538008144,17.45562534332275,2.087553779261234,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,random_search_057,log,66,1533.0,79.02174589653902,4.713004263737158,273.6653158318146,37.462645576020286,0.7911852686194585,0.05016092300098013,17.864829574424945,1.3969453434385957,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,raw_absoluteerror_balanced,raw,40,390.5,79.34058081518937,18.859863595726157,298.6667366376347,95.62683075249369,0.7388262798943996,0.13904961209138772,19.97998771667481,1.1298952562025757,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack,random_search_050,raw,40,227.5,79.55441239105107,13.156447586638086,277.4656537275871,76.30392431035305,0.7778121540977948,0.0942095415186585,24.55370073318481,0.7552395931988469,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets,raw_absoluteerror_balanced,raw,66,358.5,79.68405338399955,17.156949401040567,303.3059906029786,90.7334086373421,0.7309673961318145,0.13028568418812994,21.037410926818843,1.0975873242883283,4
