part_name,brand,model,oem_number,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,fi10331575a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"other control unit - , e-",vw,golf,fi06509801a,6,241.7667,241.75,0.718,0.5156,0.003,240.9,243.0,2.1
"drive shaft - , e-(right front)",vw,golf,fi09389104a,21,242.5762,242.4,0.7177,0.5151,0.003,241.8,243.9,2.1
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,wa505436g,5,218.96,218.8,0.7116,0.5064,0.0032,218.2,220.1,1.9
"deliverer - , e-",vw,golf,fi09515254a,17,236.7824,236.8,0.7114,0.5062,0.003,235.9,238.0,2.1
aktivt kollisionsskydd sensor -(left),skoda,octavia,fi09389104a,6,230.9167,231.05,0.6962,0.4847,0.003,230.0,232.0,2.0
aktivt kollisionsskydd sensor -(right rear),skoda,octavia,fi09389104a,6,230.9167,231.05,0.6962,0.4847,0.003,230.0,232.0,2.0
aktivt kollisionsskydd sensor -(right),skoda,octavia,fi09389104a,6,230.9167,231.05,0.6962,0.4847,0.003,230.0,232.0,2.0
drive shaft -(left rear),skoda,octavia,fi09389104a,6,230.8167,230.75,0.6914,0.4781,0.003,230.0,232.0,2.0
contact roll airbag -,toyota,corolla,fi22893129a,6,225.0,225.1,0.6904,0.4767,0.0031,224.1,226.1,2.0
contact roll airbag -,toyota,corolla,fi24637030a,6,225.0,225.1,0.6904,0.4767,0.0031,224.1,226.1,2.0
komfort styrdon -,skoda,octavia,fi06018105a,6,225.0,225.1,0.6904,0.4767,0.0031,224.1,226.1,2.0
komfort styrdon -,skoda,octavia,fi09515254a,6,225.0,225.1,0.6904,0.4767,0.0031,224.1,226.1,2.0
"other control unit - , e-",vw,golf,fi05028803a,5,307.4,307.5,0.6782,0.46,0.0022,306.6,308.4,1.8
"alternator - , e-",vw,golf,fi10331575a,4,213.25,213.2,0.6727,0.4525,0.0032,212.4,214.2,1.8
"fuse box / electricity central - , e-",vw,golf,fi06376738a,12,101.1833,101.25,0.6719,0.4514,0.0066,100.2,102.3,2.1
wheel bearing spindle shaft -(left rear),skoda,octavia,fi27837687a,11,213.0273,212.9,0.6648,0.442,0.0031,212.3,214.2,1.9
drive shaft -(left front),toyota,corolla,fi07265116a,6,213.15,213.25,0.6551,0.4292,0.0031,212.3,214.2,1.9
knee -,toyota,corolla,fi22893129a,6,213.15,213.25,0.6551,0.4292,0.0031,212.3,214.2,1.9
insp.pump diesel control unit -,toyota,corolla,fi07265116a,12,213.15,213.25,0.6551,0.4292,0.0031,212.3,214.2,1.9
"drive shaft - , e-(right front)",vw,golf,fi22893129a,3,261.0,261.0,0.6532,0.4267,0.0025,260.2,261.8,1.6
"cylinder head diesel - , e-",vw,golf,fi06376738a,6,204.7667,204.7,0.6498,0.4222,0.0032,204.0,205.9,1.9
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,fi09389104a,6,207.1667,207.1,0.6498,0.4222,0.0031,206.4,208.3,1.9
alternator -,skoda,octavia,fi09389104a,12,218.9667,218.9,0.6498,0.4222,0.003,218.2,220.1,1.9
"knee - , e-",vw,golf,fi09389104a,6,218.9667,218.9,0.6498,0.4222,0.003,218.2,220.1,1.9
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,fi27837687a,18,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"brake caliper - , e-(left rear)",vw,golf,fi27837687a,12,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"brake caliper - , e-(right rear)",vw,golf,fi27837687a,12,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
kamera utvändig -(rear),skoda,octavia,fi27837687a,6,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"knee - , e-",vw,golf,fi10331575a,6,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,fi09515254a,6,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
wheel bearing spindle shaft -(left rear),toyota,corolla,fi09389104a,11,207.3182,207.5,0.6422,0.4124,0.0031,206.4,208.3,1.9
"alternator - , e-",vw,golf,fi09389104a,20,218.93,218.9,0.6388,0.4081,0.0029,218.2,220.1,1.9
"passenger airbag - , e-",vw,golf,fi27837687a,3,354.3,353.9,0.6377,0.4067,0.0018,353.8,355.2,1.4
inter axle compl. -,skoda,octavia,fi07713839a,5,191.22,191.2,0.6337,0.4016,0.0033,190.5,192.2,1.7
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,fi09515254a,5,213.2,213.1,0.6325,0.4,0.003,212.3,214.2,1.9
"drive shaft - , e-(left rear)",vw,golf,fi05028803a,6,201.2333,201.15,0.6263,0.3922,0.0031,200.5,202.3,1.8
"drive shaft - , e-(right rear)",vw,golf,fi05028803a,6,201.2333,201.15,0.6263,0.3922,0.0031,200.5,202.3,1.8
drive shaft -(left rear),skoda,octavia,fi06292622a,6,201.2333,201.15,0.6263,0.3922,0.0031,200.5,202.3,1.8
drive shaft -(right rear),skoda,octavia,fi06292622a,6,201.2333,201.15,0.6263,0.3922,0.0031,200.5,202.3,1.8
"throttle housing - , e-",vw,golf,fi05351686a,6,201.2333,201.15,0.6263,0.3922,0.0031,200.5,202.3,1.8
contact roll airbag -,toyota,corolla,fi06018105a,6,201.3167,201.4,0.6229,0.3881,0.0031,200.5,202.3,1.8
aktivt kollisionsskydd sensor -(left),skoda,octavia,fi27837687a,5,225.18,225.2,0.6145,0.3776,0.0027,224.2,226.1,1.9
fuse box / electricity central -,toyota,corolla,fi06376738a,8,95.6125,95.75,0.5883,0.3461,0.0062,94.7,96.4,1.7
brake caliper -(left front),skoda,octavia,fi22893129a,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
brake caliper -(left front),skoda,octavia,fi23857664a,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
brake caliper -(right front),skoda,octavia,fi22893129a,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
brake caliper -(right front),skoda,octavia,fi23857664a,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
gear lever -,toyota,corolla,fi03986645a,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
"brake servo - , e-",vw,golf,fi06376738a,6,181.1,181.05,0.5859,0.3433,0.0032,180.4,182.1,1.7
"drive shaft - , e-(left rear)",vw,golf,fi06376738a,6,181.1,181.05,0.5859,0.3433,0.0032,180.4,182.1,1.7
"drive shaft - , e-(right rear)",vw,golf,fi06376738a,6,181.1,181.05,0.5859,0.3433,0.0032,180.4,182.1,1.7
komfort styrdon -,skoda,octavia,fi07265116a,5,213.32,213.4,0.5845,0.3416,0.0027,212.4,214.2,1.8
"cylinder head diesel - , e-",vw,golf,fi03986645a,6,189.3833,189.3,0.5843,0.3414,0.0031,188.7,190.4,1.7
fly wheel automat -,skoda,octavia,fi02154548a,6,189.3833,189.3,0.5843,0.3414,0.0031,188.7,190.4,1.7
"throttle housing - , e-",vw,golf,fi22893129a,6,189.3833,189.3,0.5843,0.3414,0.0031,188.7,190.4,1.7
"brake caliper - , e-(right rear)",vw,golf,fi06376738a,5,181.22,181.2,0.5706,0.3256,0.0031,180.4,182.1,1.7
brake caliper -(right rear),skoda,octavia,wa615424,6,183.55,183.65,0.562,0.3158,0.0031,182.8,184.4,1.6
control unit xenon -,skoda,octavia,fi22893129a,5,165.76,165.8,0.5607,0.3144,0.0034,165.1,166.6,1.5
"contact roll airbag - , e-",vw,golf,fi27837687a,19,177.4842,177.4,0.5603,0.314,0.0032,176.9,178.5,1.6
"brake caliper - , e-(left rear)",vw,golf,fi09389104a,6,183.4667,183.4,0.5558,0.3089,0.003,182.8,184.4,1.6
"brake caliper - , e-(right rear)",vw,golf,fi09389104a,6,183.4667,183.4,0.5558,0.3089,0.003,182.8,184.4,1.6
"brake caliper - , e-(right rear)",vw,golf,wa615424,6,183.4667,183.4,0.5558,0.3089,0.003,182.8,184.4,1.6
fly wheel automat -,skoda,octavia,fi09389104a,6,183.4667,183.4,0.5558,0.3089,0.003,182.8,184.4,1.6
brake servo -,skoda,octavia,fi10331575a,6,177.65,177.8,0.55,0.3025,0.0031,176.9,178.5,1.6
"throttle housing - , e-",vw,golf,fi07713839a,6,185.5333,185.45,0.5497,0.3022,0.003,184.9,186.5,1.6
brake caliper -(right rear),skoda,octavia,fi05351686a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
brake caliper -(right rear),skoda,octavia,fi09389104a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
brake servo -,skoda,octavia,fi32385945a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
contact roll airbag -,skoda,octavia,fi02042722a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
contact roll airbag -,skoda,octavia,fi22893129a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
contact roll airbag -,skoda,octavia,fi23857664a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
control unit xenon -(left front),skoda,octavia,fi32037991a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
curtain airbags -(right),skoda,octavia,fi02042722a,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
