part_name,brand,model,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"fuel distributor - , e-",vw,golf,25,101.864,95.2,8.7054,75.7839,0.0855,94.4,113.0,18.6
"actuator loom - , e-",vw,golf,24,106.7333,106.5,8.6591,74.9806,0.0811,94.4,119.8,25.4
"steering wheel airbag - , e-",vw,golf,30,531.07,532.2,8.6416,74.6774,0.0163,485.4,535.5,50.1
pulley -,toyota,corolla,33,57.0636,59.2,8.4845,71.9872,0.1487,11.8,59.5,47.7
fuel filter / holder -,toyota,corolla,37,40.0081,35.7,8.3003,68.8943,0.2075,17.8,47.6,29.8
gear box bracket -,toyota,corolla,24,43.2083,47.3,8.2319,67.7641,0.1905,17.8,47.6,29.8
piston / rod -,skoda,octavia,29,43.8655,41.4,8.1565,66.5278,0.1859,35.4,59.5,24.1
strut rear -(right rear),toyota,corolla,6,37.5,35.5,8.1492,66.41,0.2173,23.7,47.4,23.7
strut rear -(right),toyota,corolla,55,52.5291,59.0,8.0038,64.0606,0.1524,29.6,59.5,29.9
tank lid -,toyota,corolla,39,48.6744,47.4,7.8654,61.8645,0.1616,32.0,59.5,27.5
"tank transmitters - , e-",vw,golf,30,49.9533,47.35,7.7939,60.7452,0.156,41.3,59.5,18.2
actuator loom -(right rear),toyota,corolla,10,62.33,67.3,7.7453,59.9901,0.1243,42.6,67.8,25.2
"stolsvärme styrenhet/relä - , e-",vw,golf,24,19.2375,23.65,7.7006,59.2998,0.4003,5.9,23.8,17.9
fuse box / electricity central -,skoda,octavia,18,101.5833,101.45,7.6809,58.9958,0.0756,85.3,112.5,27.2
hub rear -(rear),skoda,octavia,42,131.8905,130.2,7.5712,57.3237,0.0574,117.9,142.8,24.9
strut rear -(left rear),toyota,corolla,19,48.9895,47.4,7.4978,56.2167,0.153,35.5,59.5,24.0
"trailing link rear- , e-(right)",vw,golf,3,84.8667,82.9,7.3586,54.1489,0.0867,77.0,94.7,17.7
"trailing link rear - , e-(left)",vw,golf,54,85.1019,83.8,7.3297,53.7239,0.0861,76.7,95.2,18.5
"trailing link rear - , e-(right)",vw,golf,45,86.2044,84.1,7.1255,50.7729,0.0827,76.7,95.2,18.5
fuel filling pipe / tube -,toyota,corolla,38,53.6158,59.0,7.0586,49.8245,0.1317,35.5,59.5,24.0
komfort styrdon -,skoda,octavia,28,224.7607,224.55,7.0552,49.7752,0.0314,212.4,238.0,25.6
"engine block - , e-",vw,golf,30,58.0,59.15,6.9023,47.6413,0.119,47.2,65.5,18.3
starter gasoline -,skoda,octavia,29,131.0207,130.1,6.8457,46.863,0.0522,123.8,142.8,19.0
förpump diesel -,skoda,octavia,30,95.6467,95.6,6.7588,45.6818,0.0707,85.0,107.1,22.1
curtain airbags -(left),skoda,octavia,36,146.6389,142.3,6.5175,42.4774,0.0444,141.5,158.3,16.8
"fuel tank injection- , e-",vw,golf,2,95.8,95.8,6.5,42.25,0.0678,89.3,102.3,13.0
central lock control unit -,toyota,corolla,37,41.1811,41.5,6.4807,41.9994,0.1574,23.7,47.6,23.9
airbag front sensor -(left),toyota,corolla,42,39.1952,35.6,6.4516,41.6233,0.1646,23.7,47.6,23.9
"sump - , e-",vw,golf,30,103.6933,106.2,6.3779,40.6773,0.0615,94.4,113.0,18.6
sensor abs -,toyota,corolla,40,50.33,47.4,6.0765,36.9236,0.1207,41.4,59.5,18.1
"fuse box / electricity central - , e-",vw,golf,30,100.2933,101.45,6.0653,36.788,0.0605,89.7,107.1,17.4
"sensor abs - , e-",vw,golf,30,54.6867,59.0,6.0083,36.0992,0.1099,47.2,60.7,13.5
air purifier-,skoda,octavia,2,89.25,89.25,5.95,35.4025,0.0667,83.3,95.2,11.9
carbon canister-,toyota,corolla,2,11.85,11.85,5.95,35.4025,0.5021,5.9,17.8,11.9
clutch cylinder main -,toyota,corolla,36,43.8972,47.2,5.9342,35.2153,0.1352,23.7,47.6,23.9
engine block -,skoda,octavia,11,82.3182,77.3,5.886,34.6451,0.0715,76.7,89.3,12.6
air purifier -,skoda,octavia,28,88.7464,88.85,5.8797,34.5703,0.0663,82.6,95.2,12.6
tank transmitters -,toyota,corolla,33,36.9667,35.6,5.8321,34.0137,0.1578,17.8,47.6,29.8
fly wheel manual -,skoda,octavia,30,122.5133,118.8,5.8187,33.8578,0.0475,117.9,133.9,16.0
"control unit xenon - , e-",vw,golf,30,172.8233,176.95,5.8134,33.7958,0.0336,165.1,178.5,13.4
fuel filling pipe / tube-,toyota,corolla,2,53.2,53.2,5.8,33.64,0.109,47.4,59.0,11.6
carbon canister -,skoda,octavia,30,42.6167,47.2,5.7985,33.6227,0.1361,35.4,47.6,12.2
caliper bracket -(right front),toyota,corolla,3,28.1,30.4,5.7463,33.02,0.2045,20.2,33.7,13.5
motor cushion -,skoda,octavia,30,49.9567,47.4,5.7169,32.6825,0.1144,42.5,59.5,17.0
trailing link rear -(left),skoda,octavia,51,76.9745,76.7,5.7034,32.5286,0.0741,70.8,84.5,13.7
valve cap -,skoda,octavia,30,53.8667,55.05,5.6048,31.4142,0.1041,47.2,60.7,13.5
fuel pump electric -,skoda,octavia,29,135.1966,130.9,5.601,31.3714,0.0414,129.7,142.8,13.1
actuator loom -,skoda,octavia,18,102.6333,106.2,5.5955,31.31,0.0545,94.4,107.1,12.7
air throttle housing / throttle housing -,skoda,octavia,18,51.2944,47.4,5.5804,31.1405,0.1088,47.2,59.5,12.3
battery cable -,skoda,octavia,30,64.8933,65.15,5.5781,31.1153,0.086,57.8,71.4,13.6
shock absorbers rear -(rear),skoda,octavia,55,51.2182,47.4,5.5575,30.8862,0.1085,47.2,59.5,12.3
"fuel filter / holder - , e-",vw,golf,30,66.53,70.8,5.5319,30.6014,0.0831,59.0,71.4,12.4
"gear box 5 speed - , e-(front)",vw,golf,6,1775.5,1774.95,5.5091,30.35,0.0031,1769.1,1785.0,15.9
parkeringshjälp frontsensor -,toyota,corolla,32,55.5156,59.0,5.4875,30.1126,0.0988,47.2,59.5,12.3
starter diesel-,toyota,corolla,3,63.0667,59.2,5.4683,29.9022,0.0867,59.2,70.8,11.6
"rear axle beam - , e-",vw,golf,27,361.3704,362.3,5.467,29.888,0.0151,353.8,368.9,15.1
adaptiv farthållare sensor -,skoda,octavia,26,399.1462,401.0,5.4121,29.2909,0.0136,392.2,409.0,16.8
trailing link rear -(right),skoda,octavia,40,79.41,82.7,5.2329,27.3829,0.0659,70.8,84.5,13.7
"main cylinder - , e-",vw,golf,29,78.8207,82.6,5.1814,26.8472,0.0657,71.9,83.3,11.4
"fuel pump electric - , e-",vw,golf,24,174.5958,177.2,5.1449,26.4696,0.0295,165.1,178.5,13.4
"tank lid - , e-",vw,golf,24,56.225,59.05,5.1267,26.2835,0.0912,47.2,59.5,12.3
mass air-flow sensor -,skoda,octavia,30,88.5333,85.4,5.1141,26.1536,0.0578,82.6,95.2,12.6
other relay -,toyota,corolla,39,41.5077,41.5,5.0433,25.4351,0.1215,29.6,47.6,18.0
trailing link rear -(right),toyota,corolla,70,68.6943,71.0,4.998,24.98,0.0728,56.2,72.6,16.4
ljusinställning lägesgivare -,skoda,octavia,23,75.8478,77.3,4.986,24.8599,0.0657,70.8,83.3,12.5
other control unit -,skoda,octavia,28,239.35,237.1,4.9318,24.3225,0.0206,235.9,249.9,14.0
strut rear-(left),toyota,corolla,3,49.6333,53.1,4.9026,24.0356,0.0988,42.7,53.1,10.4
caliper bracket -(left front),toyota,corolla,4,36.525,33.7,4.893,23.9419,0.134,33.7,45.0,11.3
"gear regulator - , e-",vw,golf,30,67.9467,71.0,4.8891,23.9032,0.072,60.1,72.6,12.5
"rear axle beam- , e-",vw,golf,3,360.1333,360.9,4.8883,23.8956,0.0136,353.8,365.7,11.9
main cylinder -,skoda,octavia,23,73.6217,71.1,4.8848,23.8608,0.0663,70.8,83.3,12.5
"belt tensioner for fan belt - , e-",vw,golf,30,43.5633,47.2,4.8751,23.7663,0.1119,35.4,47.6,12.2
"thermostat housing / cap - , e-",vw,golf,30,39.3033,35.65,4.8746,23.7617,0.124,35.4,47.6,12.2
other sensor-,skoda,octavia,5,37.88,35.5,4.8602,23.6216,0.1283,35.4,47.6,12.2
trailing link rear -(left),toyota,corolla,77,68.9104,71.0,4.8144,23.1789,0.0699,56.2,72.6,16.4
belt tensioner for fan belt -,skoda,octavia,29,21.2276,23.7,4.7986,23.0261,0.2261,11.8,23.8,12.0
gear lever -,toyota,corolla,38,179.6342,177.6,4.7839,22.8854,0.0266,171.7,190.4,18.7
"starter diesel - , e-",vw,golf,30,120.7333,118.4,4.7483,22.5462,0.0393,117.9,130.9,13.0
fuel distributor -,skoda,octavia,30,121.9167,124.2,4.748,22.5434,0.0389,112.0,124.9,12.9
central lock control unit -,skoda,octavia,30,97.0667,94.7,4.7426,22.4922,0.0489,94.4,107.1,12.7
sensor steering -,skoda,octavia,30,49.7367,47.4,4.7423,22.489,0.0953,47.2,59.5,12.3
coil -,skoda,octavia,30,50.9,47.5,4.7357,22.4267,0.093,47.2,59.5,12.3
"piston / rod - , e-",vw,golf,30,26.05,23.7,4.734,22.4105,0.1817,23.6,35.7,12.1
other sensor -,skoda,octavia,25,37.884,35.6,4.7092,22.1765,0.1243,35.4,47.4,12.0
motor cushion -,toyota,corolla,35,23.9657,23.7,4.6522,21.6428,0.1941,5.9,28.6,22.7
engine casing -,skoda,octavia,30,61.79,59.4,4.6482,21.6056,0.0752,59.0,71.4,12.4
"other relay - , e-",vw,golf,30,19.8967,23.6,4.6381,21.5117,0.2331,14.2,23.8,9.6
