part_name,brand,model,year_start,year_end,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
fuel tank injection -,skoda,octavia,2005,2013,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(rear),skoda,octavia,1996,2011,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel pump electric - , e-(rear)",vw,golf,2013,2020,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(left rear),skoda,octavia,1996,2011,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(left rear),skoda,octavia,2020,2027,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(right rear),skoda,octavia,2020,2027,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
throttle housing -,skoda,octavia,2005,2013,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"starter gasoline - , e-",vw,golf,2009,2013,18,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
throttle housing -,skoda,octavia,2013,2020,18,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel injection pump - , e-(rear)",vw,golf,2009,2013,6,134.9333,134.9,0.4384,0.1922,0.0032,134.4,135.7,1.3
gear lever -,toyota,corolla,2002,2007,5,177.44,177.6,0.4128,0.1704,0.0023,176.9,177.9,1.0
starter diesel -,skoda,octavia,2013,2020,30,130.2,130.15,0.4082,0.1667,0.0031,129.7,130.9,1.2
hub rear -(rear),skoda,octavia,2005,2013,24,130.2,130.15,0.4082,0.1667,0.0031,129.7,130.9,1.2
inverter 12 -> 220 v -(interior rear),skoda,octavia,2013,2020,5,142.14,142.1,0.403,0.1624,0.0028,141.6,142.8,1.2
"cylinder head diesel - , e-",vw,golf,1992,1999,6,124.2833,124.25,0.3804,0.1447,0.0031,123.8,124.9,1.1
"insp.pump diesel control unit- , e-",vw,golf,2004,2009,3,414.9333,415.2,0.3771,0.1422,0.0009,414.4,415.2,0.8
"actuator loom - , e-",vw,golf,2004,2009,6,119.1667,119.15,0.3682,0.1356,0.0031,118.7,119.8,1.1
"fuel injection pump - , e-",vw,golf,2009,2013,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
hub rear -(rear),skoda,octavia,2013,2020,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
