product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
60974455,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
53368241,6,923.6167,924.1,2.8922,8.3647,0.0031,919.9,928.2,8.3
66739627,5,828.94,829.9,2.8161,7.9304,0.0034,825.6,833.0,7.4
53815272,6,905.4833,905.25,2.8068,7.8781,0.0031,902.2,910.3,8.1
53365106,6,899.5667,899.3,2.8052,7.8689,0.0031,896.3,904.4,8.1
59692172,6,898.8333,899.25,2.7992,7.8356,0.0031,895.2,903.3,8.1
53403606,6,828.5667,828.3,2.5565,6.5356,0.0031,825.6,833.0,7.4
62058588,6,828.5667,828.3,2.5565,6.5356,0.0031,825.6,833.0,7.4
62527580,6,828.5667,828.3,2.5565,6.5356,0.0031,825.6,833.0,7.4
58926177,3,1458.6333,1457.1,2.5303,6.4022,0.0017,1456.6,1462.2,5.6
65150963,3,1417.3,1415.8,2.4833,6.1667,0.0018,1415.3,1420.8,5.5
64935321,6,769.7,770.1,2.3944,5.7333,0.0031,766.6,773.5,6.9
61156018,3,1346.4333,1345.0,2.3893,5.7089,0.0018,1344.5,1349.8,5.3
57028353,4,1222.025,1221.45,2.2797,5.1969,0.0019,1219.5,1225.7,6.2
57887357,4,1222.025,1221.45,2.2797,5.1969,0.0019,1219.5,1225.7,6.2
62135565,6,710.4833,710.85,2.2177,4.9181,0.0031,707.6,714.0,6.4
64592399,6,710.4833,710.85,2.2177,4.9181,0.0031,707.6,714.0,6.4
64929292,6,710.4833,710.85,2.2177,4.9181,0.0031,707.6,714.0,6.4
65400022,6,710.4833,710.85,2.2177,4.9181,0.0031,707.6,714.0,6.4
66210961,6,710.4833,710.85,2.2177,4.9181,0.0031,707.6,714.0,6.4
60785799,4,1186.425,1185.85,2.2118,4.8919,0.0019,1184.0,1190.0,6.0
54214832,6,669.0667,669.4,2.087,4.3556,0.0031,666.4,672.4,6.0
54284957,6,669.0667,669.4,2.087,4.3556,0.0031,666.4,672.4,6.0
54222147,5,609.72,609.8,2.0682,4.2776,0.0034,607.4,612.9,5.5
53889068,6,651.2833,651.6,2.0194,4.0781,0.0031,648.7,654.5,5.8
54129716,6,651.2833,651.6,2.0194,4.0781,0.0031,648.7,654.5,5.8
54672150,6,651.2833,651.6,2.0194,4.0781,0.0031,648.7,654.5,5.8
56989378,6,639.4333,639.8,2.0055,4.0222,0.0031,636.8,642.6,5.8
54270529,6,609.6,609.4,1.907,3.6367,0.0031,607.4,612.9,5.5
60055306,6,609.6,609.4,1.907,3.6367,0.0031,607.4,612.9,5.5
61918245,6,601.8167,602.1,1.8845,3.5514,0.0031,599.4,604.8,5.4
53607268,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
60058879,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
63026248,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
63127022,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65107261,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65250408,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65309287,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65399936,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65434802,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
65680819,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
66220344,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
66223587,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
66424831,6,592.0833,592.4,1.8488,3.4181,0.0031,589.7,595.0,5.3
53938228,6,591.8333,591.65,1.8364,3.3722,0.0031,589.7,595.0,5.3
54433079,6,591.8333,591.65,1.8364,3.3722,0.0031,589.7,595.0,5.3
63356798,6,591.8333,591.65,1.8364,3.3722,0.0031,589.7,595.0,5.3
63199755,5,532.62,532.2,1.817,3.3016,0.0034,530.7,535.5,4.8
66447576,6,562.4667,562.8,1.7461,3.0489,0.0031,560.2,565.2,5.0
63083764,6,544.7,544.95,1.7078,2.9167,0.0031,542.5,547.4,4.9
60058715,6,532.8667,533.15,1.672,2.7956,0.0031,530.7,535.5,4.8
61070893,6,532.8667,533.15,1.672,2.7956,0.0031,530.7,535.5,4.8
63047746,6,532.8667,533.15,1.672,2.7956,0.0031,530.7,535.5,4.8
65257613,6,532.8667,533.15,1.672,2.7956,0.0031,530.7,535.5,4.8
66424690,6,532.8667,533.15,1.672,2.7956,0.0031,530.7,535.5,4.8
62754570,6,532.65,532.5,1.6601,2.7558,0.0031,530.7,535.5,4.8
63372062,6,532.65,532.5,1.6601,2.7558,0.0031,530.7,535.5,4.8
64675808,6,532.65,532.5,1.6601,2.7558,0.0031,530.7,535.5,4.8
65138597,6,532.65,532.5,1.6601,2.7558,0.0031,530.7,535.5,4.8
54223147,3,610.9333,610.9,1.5923,2.5356,0.0026,609.0,612.9,3.9
61721306,6,506.2333,506.5,1.5628,2.4422,0.0031,504.2,508.7,4.5
61751538,6,506.2333,506.5,1.5628,2.4422,0.0031,504.2,508.7,4.5
66456417,6,506.2333,506.5,1.5628,2.4422,0.0031,504.2,508.7,4.5
61766032,6,494.95,495.2,1.5414,2.3758,0.0031,493.0,497.4,4.4
66547815,6,494.95,495.2,1.5414,2.3758,0.0031,493.0,497.4,4.4
54280175,6,485.5,485.75,1.5067,2.27,0.0031,483.6,487.9,4.3
54292142,6,485.5,485.75,1.5067,2.27,0.0031,483.6,487.9,4.3
56974726,6,485.5,485.75,1.5067,2.27,0.0031,483.6,487.9,4.3
57597013,6,485.5,485.75,1.5067,2.27,0.0031,483.6,487.9,4.3
59309175,6,485.5,485.75,1.5067,2.27,0.0031,483.6,487.9,4.3
53417014,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
53445888,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54040619,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
54040892,6,473.6667,473.9,1.4738,2.1722,0.0031,471.8,476.0,4.2
