product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
53581738,Steering wheel airbag -,414.4,A2,2013-2020,FI02042722A,,45000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
54760417,Steering wheel airbag -,414.4,A2,2013-2020,FI05351686A,,204000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
62240110,Steering wheel airbag -,414.4,A2,2013-2020,FI05351686A,,136000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
62238817,Steering wheel airbag -,414.4,A2,2013-2020,FI05351686A,,124000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
66393138,Steering wheel airbag -,414.4,A2,2013-2020,FI05351686A,,407000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
54251541,Steering wheel airbag -,390.7,A1,2013-2020,FI09389104A,,34000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
61119958,Steering wheel airbag -,365.6,A2,2013-2020,FI06509801A,,90000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
54184696,Steering wheel airbag -,378.9,A2,2013-2020,FI26167503A,,63000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
55100940,Steering wheel airbag -,378.9,A2,2013-2020,FI24637030A,04L,223000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
63308431,Steering wheel airbag -,378.9,A2,2013-2020,FI24637030A,04L,156000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
53492208,Curtain airbags -(Left),142.1,A2,2013-2020,FI27837687A,,301000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
54689453,Curtain airbags -(Left),142.1,A2,2013-2020,FI23857664A,,90000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
65210848,Curtain airbags -(Left),153.9,A2,2005-2013,FI27837687A,,380000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
63439417,Curtain airbags -(Left),142.1,A2,2013-2020,FI27837687A,,111000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
53485816,Curtain airbags -(Left),142.1,A2,2013-2020,FI27837687A,,177000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
65484043,Curtain airbags -(Left),130.2,A2,2005-2013,FI27837687A,,231000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
54368324,Curtain airbags -(Left),120.8,A2,2005-2013,FI06376738A,,184000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
53409073,Curtain airbags -(Left),106.6,A2,2005-2013,FI27837687A,,205000.0,Skoda,Octavia,Airbag,Left,2026-02-03,2026-02-03T13:13:31+02:00
