model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2
random_forest,trusted_manual_all_features_set,random_search_019,log,63,73.36569795788517,124.08521710316491,0.9521043083440797
random_forest,trusted_recommended_features,random_search_024,raw,67,76.94253423347779,108.14746045075678,0.9636177954881204
random_forest,trusted_recommended_features_without_listing_dates,random_search_024,raw,66,77.09595369102311,108.45749097824931,0.9634088999332109
random_forest,trusted_extended_traficom_stack,random_search_024,raw,62,77.58278292862468,108.91373361909416,0.9631004005614974
random_forest,trusted_manual_all_features_set,random_search_024,raw,63,77.74476932623666,109.00792489538067,0.9630365496007226
random_forest,trusted_recommended_features_without_listing_dates,random_search_011,raw,66,77.96019787669194,109.85970966612334,0.9624566300174553
random_forest,trusted_recommended_features,random_search_011,raw,67,77.97051613359066,109.93757640786393,0.9624033909196095
random_forest,trusted_recommended_features_without_listing_dates,random_search_005,raw,66,78.03476687101491,107.8306396213429,0.9638306485012856
random_forest,trusted_manual_all_features_set,random_search_011,raw,63,78.05270381779106,109.953987319242,0.9623921656281164
random_forest,trusted_extended_traficom_stack,random_search_011,raw,62,78.16771902108215,110.14861873472077,0.9622589072616319
random_forest,trusted_recommended_features,random_search_005,raw,67,78.29014337759861,107.85157923281987,0.963816599698322
random_forest,trusted_manual_all_features_set,random_search_005,raw,63,78.74152270281122,108.3963482610402,0.9634501446389933
random_forest,trusted_extended_traficom_stack,random_search_005,raw,62,78.878783388318,108.63397923810106,0.9632897167610548
random_forest,trusted_recommended_features_without_listing_dates,random_search_001,raw,66,79.74945793675583,111.81069181534914,0.9611113355285312
random_forest,trusted_extended_traficom_stack,random_search_001,raw,62,79.92093594850016,112.18540688130851,0.9608502408810804
random_forest,trusted_recommended_features,random_search_001,raw,67,79.95362862646498,112.27928673719886,0.9607846902595919
random_forest,trusted_manual_all_features_set,random_search_001,raw,63,80.34976601931014,112.76562384321053,0.9604442327160106
random_forest,trusted_extended_traficom_stack,random_search_012,raw,62,91.63868745375923,160.92134240168,0.9194466413303726
random_forest,trusted_manual_all_features_set,random_search_012,raw,63,92.00979039578796,162.49509466476,0.9178633719403234
random_forest,trusted_recommended_features_without_listing_dates,random_search_012,raw,66,93.50271757496078,162.35981675253132,0.9180000732541944
random_forest,trusted_recommended_features,random_search_012,raw,67,94.42096431880621,165.86892762600047,0.9144172114168123
random_forest,trusted_recommended_features,random_search_018,raw,67,110.7699249059358,193.7577147817934,0.8832184146118218
random_forest,trusted_extended_traficom_stack,random_search_018,raw,62,111.72246796978732,195.7217044928997,0.8808389454452887
random_forest,trusted_recommended_features_without_listing_dates,random_search_018,raw,66,112.26603486411578,196.18217289854127,0.8802775928215961
random_forest,trusted_manual_all_features_set,random_search_018,raw,63,112.46417632450193,200.7801079463041,0.8745999452158315
random_forest,trusted_extended_traficom_stack,random_search_017,raw,62,128.73359207692675,260.4974467567198,0.7889121184642585
random_forest,trusted_manual_all_features_set,random_search_017,raw,63,129.67419428776074,262.6111743678748,0.7854726030705981
random_forest,trusted_recommended_features_without_listing_dates,random_search_017,raw,66,133.11571774964546,266.64588619374,0.7788300422263766
random_forest,trusted_recommended_features,random_search_017,raw,67,134.3092517643235,270.3576109328349,0.772629791741996
random_forest,trusted_extended_traficom_stack,random_search_006,raw,62,190.67211460612353,394.6524605972543,0.5155086928274717
random_forest,trusted_manual_all_features_set,random_search_006,raw,63,191.44824640480468,397.32977397492425,0.5089128392323656
random_forest,trusted_recommended_features_without_listing_dates,random_search_006,raw,66,191.5182617844897,398.97976230012864,0.5048257026839338
random_forest,trusted_recommended_features,random_search_006,raw,67,191.93828421404945,397.0562483227537,0.5095887447870233
random_forest,trusted_recommended_features,random_search_009,raw,67,192.30821155803753,398.9711309505676,0.5048471272103208
random_forest,trusted_recommended_features_without_listing_dates,random_search_009,raw,66,193.67470260797026,403.94536179184337,0.4924233780512569
random_forest,trusted_extended_traficom_stack,random_search_009,raw,62,193.73377748769022,401.96609080267086,0.4973852887747522
random_forest,trusted_manual_all_features_set,random_search_009,raw,63,193.83363159625327,403.2200073461516,0.49424462634188404
